decision,title,abstract,identifier,id,source,journal,authors,year,type,level,position,name
,[Evaluation Of The Characteristics Of Addiction To Online Video Games Among Adolescents And Young Adults].,"The objectives of this study are to assess the social characteristics, coping strategies, self-esteem and depressive symptoms in a population-dependent and not dependent on video games online, in order to investigate the correlations existing between these characteristics. The study was conducted among 193 subjects. Data were collected through a global questionnaire constituted of several scales. The global questionnaire consisted of a sociodemographic part (age, sex, social status, most played game, number of hours per week devoted to the game), a questionnaire assessing dependence and abuse according to the DSM -IV-TR, the feeling of social belonging scale (or ESAS which was doubled to collect information about the belonging in real life and virtual life), the Ways of coping check-list (WCCL), the Rosenberg self-esteem scale (EES), the Quality of interpersonal relations scale (EQRI), the UCLA Loneliness scale and the Center for epidemiologic studies depression scale (CES-D). The questionnaire was broadcasted on the Internet, specifically in the forums dedicated to ""massively multiplayer online role-playing games"" and in young people's forums in specific subject headings. The results show that there are significant differences between the two populations, especially regarding the social characteristics, depressive symptoms, self-esteem and coping strategies. In the entire population, 66 subjects (42%) were considered dependent on online video games and 92 subjects (58%) were not considered dependent. In the dependent population, the number of hours spent playing per week, the score of social belonging in the virtual life, the coping focused on the emotion, the score of loneliness or social isolation and the score obtained on the CES-D appeared more important than the scores obtained by the non-dependent. Moreover, the average age, the scores of social belonging in real life, self-esteem and sub-dimensions ""family"" and ""friends"" of the quality of interpersonal relations scale are lower than those obtained by the non-dependent. Furthermore, the number of hours of play per week, the feeling of social belonging, self-esteem, quality of family relationships and loneliness are predictive factors of addiction to video games online. These results suggest that one of the crucial issues in dependence is the monitoring of game practice. Indeed, dependence on video games is based on a real hardware that needs to be controlled and managed by a third party before the emergence of a dependency. Therefore the results of this study suggest the establishment of better prevention, especially among parents who are confronted in majority with a world and a technology that is unknown or too complicated. In the case of a proven addiction, the study proposes care therapy focused on the social link, especially the family link, and a particular care to work on self-esteem.",doi,10.1016/j.encep.2010.06.006,pubmed,L'Encephale,"Schmit, S; Chauchard, E; Chabrol, H; Sejourne, N",2012,NA,NA,reviewer1,Ali
,"“Beauty Sleeping In The Lap Of Horror”: Landscape Aesthetics And Gothic Pleasures, From The Castle Of Otranto To Video Games","In the latter part of the eighteenth century a new enthusiasm-a new way of looking at the physical world-swept through England. This new landscape aesthetic was generally expressed in terms of the closely interrelated concepts of the sublime, the beautiful, and the picturesque. As a system of artistic, psychological, and philosophical references, the aesthetic fired the imaginations of many eighteenth-century British novelists, especially those who were turning their attention to a then-emerging fictional form, the Gothic novel. The ideas encompassed by this system of landscape aesthetics were perfect vehicles for these eighteenth-century stories of suspense and terror; and during the nineteenth and twentieth centuries, this adaptable aesthetic continued to provide a common reference point for creators and readers of Gothic fiction. Even today, although we may not use the same terminology, landscape aesthetics based on the sublime, the beautiful, and the picturesque are still alive and well in popular culture. Many modern-day writers and artists who work in the Gothic tradition-from novelists to film makers to video game designers-continue to draw from the same aesthetic conventions. The plot constructs that thrill today’s audiences (attacks by space aliens; love stories of teenage vampires) differ from the constructs used by eighteenth-century authors (menacing, ghostly figures; terrified virgins fleeing would-be seducers). Nevertheless, the complex emotions-apprehension and terror, anticipation and pleasure-evoked by the best Gothic fictions have remained remarkably consistent.1 This chapter shows how some of the best-respected practitioners of Gothic have, over the years, used specific elements of an eighteenth-century aesthetic canon to produce specific emotional responses in their audience-that is, to produce the range of feelings that comprise the “delicious terror” of the true Gothic experience. © The Author(s) 2016.",doi,10.1007/978-3-319-33165-2_4,Scopus,"Gothic Landscapes: Changing Eras, Changing Cultures, Changing Anxieties",Davenport A.,2016,Book Chapter,NA,reviewer1,Ali
,A Collusion-Resistant Mechanism For Autonomic Resource Management In Virtual Private Networks,"In this paper, we address the problem of autonomic resource management for Virtual Private Networks (VPNs). Resources management is one of the important problems facing most Internet Service Providers (ISPs). As a solution, the Autonomic Service Architecture (ASA) is proposed in the literature to automate the resources management. Although, this model is able to improve ISPs' performance by automatically adjusting the resources allocation of each customer, it still suffers from two main limitations. First, this model increases the ISPs' revenue in a suboptimal way. Second, this model has no mechanism to prevent customers' exaggeration that can lead to a non-efficient resource utilization, and violate the contracted Service Level Agreements' (SLAs) terms. To guarantee their QoS classes; customers might exaggerate by asking for more resources during and after the SLA negotiation session, especially in the case of multimedia streaming, and this can waste the available network resources. To overcome the above limitations, we propose an Autonomic Resources Management Mechanism (ARMM) that increases the ISPs' revenue by allocating resources based on the auction mechanism, where resources are granted to the best bidders. Additionally, we propose a threat model based on Vickrey-Clarke-Groves (VCG) mechanism that is able to penalize exaggerating bidders according to the created inconvenience. Since in our framework, customers are assumed to be rational, they will avoid asking for more unneeded resources but they can collude with others to have the resources for less. Such a behavior can dramatically minimize the ISP revenue while on the other hand it can maximize the customers' utility. To avoid this, we propose a collusion resistant model based on the Markov Decision Process (MDP) that allows the ISP to calculate the state-dependent optimal cost-unit threshold based on the shadow price concept. All bids that are greater than or equal this threshold are considered in the auction. With this threshold, we can reduce the collusion behavior and with VCG we can motivate the customers to not exaggerate. Simulation results show that the ARMM model is able to efficiently utilize network resources, increase ISPs' profit, and customers' satisfaction rates. © 2010 Elsevier B.V. All rights reserved.",doi,10.1016/j.comcom.2010.07.023,Scopus,Computer Communications,"Quttoum A.N., Otrok H., Dziong Z.",2010,Article,NA,reviewer1,Ali
,A Comparison Of Additional Heart Rates During Active Psychological Challenge Calculated From Upper Body And Lower Body Dynamic Exercise,"Heart rate, oxygen consumption, and blood pressure were recorded while 22 young males performed a stressful mental arithmetic task and played a video game. Measurements were also made while subjects undertook two separate graded dynamic exercise tasks, an upper body and a lower body task. All measures changed as a function of psychological challenge, and during exercise heart rate and oxygen consumption changed as an orderly function of workload. For each subject, heart rate was plotted against oxygen consumption over the various workloads for each exercise task separately, thereby generating two regression lines per subject. In conjunction with oxygen consumption values during the psychological tasks, these regressions allowed the prediction of expected heart rate values during psychological challenge, and thus the computation of additional heart rate as the difference between actual heart rate and predicted heart rate. Actual heart rate during psychological challenge was substantially greater than predicted heart rate, i.e., there was considerable additional heart rate. This was the case irrespective of whether upper or lower body exercise was used to compute the predictions, and there was no significant difference between the additional heart rates generated from the two exercise tasks, which produced regression lines with similar slope and intercept values. Copyright © 1988, Wiley Blackwell. All rights reserved",doi,10.1111/j.1469-8986.1988.tb00990.x,Scopus,Psychophysiology,"Turner J.R., Carroll D., Hanson J., Sims J.",1988,Article,NA,reviewer1,Ali
,A Distributed Admission Control Model For Qos Assurance In Large-Scale Media Delivery Systems,"Conventional admission control models incur some performance penalty. First, admission control computation can overload a server that is already heavily loaded. Also, in large-scale media systems with geographically distributed server clusters, performing admission control on each cluster can result in long response latency, if the client request is denied at one site and has to be forwarded to another site. Furthermore, in prefix caching, initial frames cached at the proxy are delivered to the client before the admission decisions are made. If the media server is heavily loaded and, finally, has to deny the client request, forwarding a large number of initial frames is a waste of critical network resources. In this paper, a novel distributed admission control model is presented. We make use of proxy servers to perform the admission control tasks. Each proxy hosts an agent to coordinate the effort. Agents reserve media server's disk bandwidth and make admission decisions autonomously based on the allocated disk bandwidth. We develop an effective game theoretic framework to achieve fairness in the bandwidth allocation among the agents. To improve the overall bandwidth utilization, we also consider an aggressive admission control policy where each agent may admit more requests than its allocated bandwidth allows. The distributed admission control approach provides the solution to the stated problems incurred in conventional admission control models. Experimental studies show that our algorithms significantly reduce the responce latency and the media server load. © 2005 IEEE.",doi,10.1109/TPDS.2005.141,Scopus,IEEE Transactions on Parallel and Distributed Systems,"Xia Z., Hao W., Yen I.-L., Li P.",2005,Article,NA,reviewer1,Ali
,A Fuzzy-Rule-Based Driving Architecture For Non-Player Characters In A Car Racing Game,"Videogame-based competitions have been the target of considerable interest among researchers over the past few years since they provide an ideal framework in which to apply soft computing techniques. One of the most popular competitions is the Simulated Car Racing Competition which, thanks to the realism implemented by recent car simulators, provides an excellent test bed for the application of autonomous driving techniques. The present work describes the design and implementation of a car controller able to deal with competitive racing situations. The complete driving architecture consists of six simple modules, each one responsible for a basic aspect of car driving. Three modules use simple functions to control gear shifting, steering movements, and pedal positions. A fourth manages speed control by means of a simple fuzzy system. The other two modules are in charge of (i) adapting the driving behaviour to the presence of other cars, and (ii) implementing a basic 'inter-lap' learning mechanism in order to remember key track segments and adapt the speed accordingly in future laps. The controller was evaluated in two ways. First, in runs without adversaries over several track designs, our controller allowed some of the longest distances to be covered in a set time in comparison with data from other previous controllers, and second, as a participant in the 2009 Simulated Car Racing Competition which it ended up winning. © 2011 Springer-Verlag.",doi,10.1007/s00500-011-0691-6,Scopus,Soft Computing,"Onieva E., Pelta D.A., Milanés V., Pérez J.",2011,Article,NA,reviewer1,Ali
,A Human-Machine-Interface Integrating Low-Cost Sensors With A Neuromuscular Electrical Stimulation System For Post-Stroke Balance Rehabilitation,"A stroke is caused when an artery carrying blood from heart to an area in the brain bursts or a clot obstructs the blood flow to brain thereby preventing delivery of oxygen and nutrients. About half of the stroke survivors are left with some degree of disability. Innovative methodologies for restorative neurorehabilitation are urgently required to reduce long-term disability. The ability of the nervous system to reorganize its structure, function and connections as a response to intrinsic or extrinsic stimuli is called neuroplasticity. Neuroplasticity is involved in post-stroke functional disturbances, but also in rehabilitation. Beneficial neuroplastic changes may be facilitated with non-invasive electrotherapy, such as neuromuscular electrical stimulation (NMES) and sensory electrical stimulation (SES). NMES involves coordinated electrical stimulation of motor nerves and muscles to activate them with continuous short pulses of electrical current while SES involves stimulation of sensory nerves with electrical current resulting in sensations that vary from barely perceivable to highly unpleasant. Here, active cortical participation in rehabilitation procedures may be facilitated by driving the non-invasive electrotherapy with biosignals (electromyogram (EMG), electroencephalogram (EEG), electrooculogram (EOG)) that represent simultaneous active perception and volitional effort. To achieve this in a resource-poor setting, e.g., in low- and middle-income countries, we present a low-cost human-machine-interface (HMI) by leveraging recent advances in off-the-shelf video game sensor technology. In this paper, we discuss the open-source software interface that integrates low-cost off-the-shelf sensors for visual- auditory biofeedback with non-invasive electrotherapy to assist postural control during balance rehabilitation. We demonstrate the proof-of- concept on healthy volunteers. © 2016 Journal of Visualized Experiments.",doi,10.3791/52394,Scopus,Journal of Visualized Experiments,"Kumar D., Das A., Lahiri U., Dutta A.",2016,Article,NA,reviewer1,Ali
,A Missed Penalty Kick Triggered Coronary Death In The Husband And Broken Heart Syndrome In The Wife,"Events that induce emotional stress and frustration in a large number of subjects under specific circumstances, such as earthquakes, war conditions, and sporting occasions, may increase the incidence of cardiovascular events, such as acute myocardial infarction, arrhythmias, and sudden cardiac death. This report describes a married couple who expressed an apparently passionate interest in football with hazardous consequences after a tense football match during the FIFA 2014 World Championships. A series of emotional stressors initiated by defeat in this football game lead to cardiac arrest in a 58-year-old man caused by a thrombotic occlusion of the left anterior descending artery and ending in the death of the patient. An hour and 15 minutes after the onset of cardiac arrest of the patient, his 64-year-old wife also had chest pain caused by an acute midventricular takotsubo syndrome. She survived the acute stage of the disease, and there was complete resolution of the left ventricular dysfunction. © 2015 Elsevier Inc. All rights reserved",doi,10.1016/j.amjcard.2015.08.033,Scopus,American Journal of Cardiology,"Y-Hassan S., Feldt K., Stålberg M.",2015,Article,NA,reviewer1,Ali
,A Mixed Reality System For Kansei-Based Co-Design Of Highly-Customized Products,"We designed a new Computer-Aided Design tool that can be easily and intuitively used by non-expert designers, like users of the products being designed. The target application is the design of highly-customized products together with the final users, more specifically the design of walking assistive devices with mobility-impaired people. The tool has simultaneously been developed with an ad-hoc protocol for an accurate evaluation of the satisfaction of users, through questionnaires and psychophysiological measurements. In fact, costly and complex technical products such as walking assistance devices require ad-hoc design processes to address the specific needs of each user. The characterization of user requirements in the early stage of design remains difficult due to their subjective and communication gap between the user and the designer. To overcome these issues, we propose a new modular digital toolbox that allows co-design between users and designers. The tool is a combination of a mixed reality hardware/software system and kansei (or affective) engineering techniques. The hardware consists of modular Tangible User Interfaces (TUIs), custom-made by 3D printing and powered by a 3D game engine. The interactive content is displayed in mixed reality, simultaneously to the user and the designer. Kansei data of the users are collected through questionnaires and psychophysical measurements during multiple collaboration phases. ©2016-Society for Design and Process Science.All rights reserved.",doi,10.3233/jid-2016-0013,Scopus,Journal of Integrated Design and Process Science,"Arrighi P.-A., Maurya S., Arai K., Moriya K., Mougenot C.",2016,Article,NA,reviewer1,Ali
,A Novel Educational Game For Teaching Emotion Identification Skills To Preschoolers With Autism Diagnosis,"Emotion recognition is essential in human communication and social interaction. Children with autism have been reported to exhibit deficits in understanding and expressing emotions. Those deficits seem to be rather permanent so intervention tools for improving those impairments are desirable. Educational interventions for teaching emotion recognition should occur as early as possible. It is argued that Serious Games can be very effective in the areas of therapy and education for children with autism. However, those computer interventions require considerable skills for interaction. Before the age of 6, most children with autism do not have such basic motor skills in order to manipulate a mouse or a keyboard. Our approach takes account of the specific characteristics of preschoolers with autism and their physical inabilities. By creating an educational computer game, which provides physical interaction with natural user interface (NUI), we aim to support early intervention and to enhance emotion recognition skills.",doi,10.2298/CSIS121212041,Scopus,Computer Science and Information Systems,"Christinaki E., Vidakis N., Triantafyllidis G.",2014,Article,NA,reviewer1,Ali
