decision,title,abstract,identifier,id,source,journal,authors,year,type,level,position,name
,"""Games Are Made For Fun"": Lessons On The Effects Of Concept Maps In The Classroom Use Of Computer Games","Does using a computer game improve students' motivation to learn classroom material? The current study examined students' motivation to learn history concepts while playing a commercial, off-the-shelf computer game, Civilization III. The study examined the effect of using conceptual scaffolds to accompany game play. Students from three ninth-grade classrooms were assigned to one of three groups: one group used an expert generated concept map, one group constructed their own concept maps, and a control group used no map. It was predicted that the use of concept maps would enhance the educational value of the game playing activity, in particular students' motivational levels; however, the opposite happened. Students who used a concept map showed lower motivation on the task relative to their baseline motivation for regular classroom instruction. In contrast, the levels of motivation in playing the game, for students in the control group, met or exceeded their levels of motivation during regular classroom instruction. These results suggest that using a conceptual scaffold can decrease students' motivation to learn classroom material through game play, perhaps because conceptual maps can (a) focus students' attention on the difficulty of learning the concepts and on the extrinsic rewards for playing the game and (b) make game play less autonomous, less creative, and less active. All of these can negate the primary property that provides playing its principal potential pedagogical power: fun. © 2010 Elsevier Ltd. All rights reserved.",doi,10.1016/j.compedu.2010.10.001,Scopus,Computers and Education,"Charsky D., Ressler W.",2011,Article,NA,reviewer1,Andreas
,"""If You Can't Be With The One You Love, Love The One You're With"": How Individual Habituation Of Agent Interactions Improves Global Utility","Simple distributed strategies that modify the behavior of selfish individuals in a manner that enhances cooperation or global efficiency have proved difficult to identify. We consider a network of selfish agents who each optimize their individual utilities by coordinating (or anticoordinating) with their neighbors, to maximize the payoffs from randomly weighted pairwise games. In general, agents will opt for the behavior that is the best compromise (for them) of the many conflicting constraints created by their neighbors, but the attractors of the system as a whole will not maximize total utility. We then consider agents that act as creatures of habit by increasing their preference to coordinate (anticoordinate) with whichever neighbors they are coordinated (anticoordinated) with at present. These preferences change slowly while the system is repeatedly perturbed, so that it settles to many different local attractors. We find that under these conditions, with each perturbation there is a progressively higher chance of the system settling to a configuration with high total utility. Eventually, only one attractor remains, and that attractor is very likely to maximize (or almost maximize) global utility. This counterintuitive result can be understood using theory from computational neuroscience; we show that this simple form of habituation is equivalent to Hebbian learning, and the improved optimization of global utility that is observed results from well-known generalization capabilities of associative memory acting at the network scale. This causes the system of selfish agents, each acting individually but habitually, to collectively identify configurations that maximize total utility. © 2011 Massachusetts Institute of Technology.",doi,10.1162/artl_a_00030,Scopus,Artificial Life,"Davies A.P., Watson R.A., Mills R., Buckley C.L., Noble J.",2011,Article,NA,reviewer1,Andreas
,"""Just Dance"": The Effects Of Exergame Feedback And Controller Use On Physical Activity And Psychological Outcomes","Objective: In Asia, dance games are among the most popular types of exergames. Whereas traditional dance-based games emphasize step movements on a dance pad, more recent dance games emphasize intuitive dance movements using simple controllers or players' own bodies to ""just dance."" However, because of limited space and access, young adults in Taiwan often do not use these games. Popular dance videos on YouTube are more readily available to students because these videos can be accessed on a computer. Therefore, the current study examines the effects of interactivity (the role of feedback) and controller use on participants' physiological and psychological outcomes during exergames. Materials and Methods: The dance game ""Just Dance 3"" (Ubisoft, Montreuil, France) was chosen as the stimulus for this study. Participants danced through one song for rehearsal and warm-up, followed by three songs for the experiment, which lasted approximately 12 minutes. One hundred twenty-nine college students participated in a 2×2×2 (interactivity, feedback versus no feedback; controller, with versus without; sex, male versus female) between-subject factorial design. Results: A series of 2×2×2 (interactivity, controller, and sex) analyses of variance showed no significant differences in interaction effects on participants' heart rates, blood pressures, body movements, step counts, or perceived psychological outcomes. Conclusions: Dance game videos without feedback are also effective tools for achieving moderate-level exercise intensity. These videos can supplement the limited access to games in Asian countries, such as Taiwan. © Copyright 2015, Mary Ann Liebert, Inc. 2015.",doi,10.1089/g4h.2014.0092,Scopus,Games for Health Journal,Lin J.-H.,2015,Article,NA,reviewer1,Andreas
,A Behavioral Test Of Accepting Benefits That Cost Others: Associations With Conduct Problems And Callous-Unemotionality,"Background: Youth with conduct problems (CP) often make decisions which value self-interest over the interests of others. Self-benefiting behavior despite loss to others is especially common among youth with CP and callous-unemotional traits (CU). Such behavioral tendencies are generally measured using self- or observer-report. We are unaware of attempts to measure this tendency with a behavioral paradigm. Methods/Principal Findings: In our AlAn's (altruism-antisocial) game a computer program presents subjects with a series of offers in which they will receive money but a planned actual charity donation will be reduced; subjects decide to accept or reject each offer. We tested (1) whether adolescent patients with CP (n = 20) compared with adolescent controls (n = 19) differed on AlAn's game outcomes, (2) whether youths with CP and CU differed significantly from controls without CP or CU, and (3) whether AlAn's game outcomes correlated significantly with CP and separately, CU severity. Patients with CP and CU compared with controls without these problems took significantly more money for themselves and left significantly less money in the charity donation; AlAn's game outcomes were significantly correlated with CU, but not CP. Conclusions/Significance: In the AlAn's game adolescents with conduct problems and CU traits, compared with controls without CP/CU, are disposed to benefit themselves while costing others even in a novel situation, devoid of peer influences, where anonymity is assured, reciprocity or retribution are impossible, intoxication is absent and when the ""other"" to be harmed is considered beneficent. AlAn's game outcomes are associated with measures of CU. Results suggest that the AlAn's game provides an objective means of capturing information about CU traits. The AlAn's game, which was designed for future use in the MRI environment, may be used in studies attempting to identify the neural correlates of self-benefiting decision-making. © 2012 Sakai et al.",doi,10.1371/journal.pone.0036158,Scopus,PLoS ONE,"Sakai J.T., Dalwani M.S., Gelhorn H.L., Mikulich-Gilbertson S.K., Crowley T.J.",2012,Article,NA,reviewer1,Andreas
,A Brief Survey On Secure Multi-Party Computing In The Presence Of Rational Parties,"Intelligent agents (IA) are autonomous entities which observe through sensors and act upon an environment using actuators to adjust their activities towards achieving certain goals. The architectures of agents have enormous potentials when they are applied into critical systems, where agents choose actions between working with their own and cooperating with others. Rational utility-based agents choose actions to maximize their expected utilities. Rational secure multi-party computing (RSMPC) means secure multi-party computing (SMPC) in the presence of rational utility-based agents. Here, we call them rational parties. In this paper certain goals of rational parties are maximizing their utilities. The introduction of rational parties considers the incentives in executing protocols. The security definitions under rational framework can better demonstrate the executing environment of real protocols. Furthermore, rational two-party computing removes some impossibility in traditional two-party computing, such as fairness. This paper represents the research status of RSMPC and some typical protocols. The advantages and disadvantages of previous rational SMPC protocols are discussed here. As an emerging field, there are still lots of open problems in RSMPC, such as communication channels, utility assumptions and equilibrium notions etc. © 2015, Springer-Verlag Berlin Heidelberg.",doi,10.1007/s12652-015-0299-2,Scopus,Journal of Ambient Intelligence and Humanized Computing,"Wang Y., Li T., Qin H., Li J., Gao W., Liu Z., Xu Q.",2015,Article,NA,reviewer1,Andreas
,A Computer Based System To Design Expressive Avatars,"Avatars are used in different contexts and situations: e-commerce, e-therapy, virtual worlds, videogames, collaborative online design... In this context, a good design of an avatar may improve the user experience. The ability of controlling the way an avatar convey messages and emotions is capital. In this work, a procedure to design avatar faces capable of conveying to the observer the most suitable sensations according to a given context is developed. The proposed system is based on a combination of genetic algorithms and artificial neural networks whose training is based on perceptual human responses to a set of faces. © 2014 Elsevier Ltd. All rights reserved.",doi,10.1016/j.chb.2014.11.027,Scopus,Computers in Human Behavior,"Diego-Mas J.A., Alcaide-Marzal J.",2015,Article,NA,reviewer1,Andreas
,A Framework For Adaptive Game Presenters With Emotions And Social Comments,"More and more games today try to adjust their gameplay to fit individual players; however, little work has been carried out in the same direction towards game presenter characters. Game commentary should take into account players' personalities along with game progress in order to achieve social player-adapted comment delivery that boosts the overall gameplay, engages the players, and stimulates the audience. In our work, we discuss a framework for implementing artificial game presenter characters that are based on game actions and players' social profiles in order to deliver knowledgeable, socially oriented comments. Moreover, the presented framework supports emotional facial expressions for the presenters, allowing them to convey their emotions and thus be more expressive than the majority of the commentary systems today. We prove our concept by developing a presenter character for multiplayer tabletop board games which we further put under usability evaluation with 9 players. The results showed that game sessions with presenter characters are preferred over the plain version of the game and that the majority of the players enjoy personalized social-oriented comments expressed via multimedia and emotions. © 2012 Effie Karouzaki and Anthony Savidis.",doi,10.1155/2012/929814,Scopus,International Journal of Computer Games Technology,"Karouzaki E., Savidis A.",2012,Article,NA,reviewer1,Andreas
,A Game-Theoretic Framework For Landmark-Based Image Segmentation,"A novel game-theoretic framework for landmark- based image segmentation is presented. Landmark detection is formulated as a game, in which landmarks are players, landmark candidate points are strategies, and likelihoods that candidate points represent landmarks are payoffs, determined according to the similarity of image intensities and spatial relationships between the candidate points in the target image and their corresponding landmarks in images from the training set. The solution of the formulated game-theoretic problem is the equilibrium of candidate points that represent landmarks in the target image and is obtained by a novel iterative scheme that solves the segmentation problem in polynomial time. The object boundaries are finally extracted by applying dynamic programming to the optimal path searching problem between the obtained adjacent landmarks. The performance of the proposed framework was evaluated for segmentation of lung fields from chest radiographs and heart ventricles from cardiac magnetic resonance cross sections. The comparison to other landmark-based segmentation techniques shows that the results obtained by the proposed game-theoretic framework are highly accurate and precise in terms of mean boundary distance and area overlap. Moreover, the framework overcomes several shortcomings of the existing techniques, such as sensitivity to initialization and convergence to local optima. © 2012 IEEE.",doi,10.1109/TMI.2012.2202915,Scopus,IEEE Transactions on Medical Imaging,"Ibragimov B., Likar B., Pernuš F., Vrtovec T.",2012,Article,NA,reviewer1,Andreas
,A Meta-Analysis Of Active Video Games On Health Outcomes Among Children And Adolescents,"This meta-analysis synthesizes current literature concerning the effects of active video games (AVGs) on children/adolescents' health-related outcomes. A total of 512 published studies on AVGs were located, and 35 articles were included based on the following criteria: (i) data-based research articles published in English between 1985 and 2015; (ii) studied some types of AVGs and related outcomes among children/adolescents and (iii) had at least one comparison within each study. Data were extracted to conduct comparisons for outcome measures in three separate categories: AVGs and sedentary behaviours, AVGs and laboratory-based exercise, and AVGs and field-based physical activity. Effect size for each entry was calculated with the Comprehensive Meta-Analysis software in 2015. Mean effect size (Hedge's g) and standard deviation were calculated for each comparison. Compared with sedentary behaviours, AVGs had a large effect on health outcomes. The effect sizes for physiological outcomes were marginal when comparing AVGs with laboratory-based exercises. The comparison between AVGs and field-based physical activity had null to moderate effect sizes. AVGs could yield equivalent health benefits to children/adolescents as laboratory-based exercise or field-based physical activity. Therefore, AVGs can be a good alternative for sedentary behaviour and addition to traditional physical activity and sports in children/adolescents. © 2015 World Obesity.",doi,10.1111/obr.12287,Scopus,Obesity Reviews,"Gao Z., Chen S., Pasco D., Pope Z.",2015,Article,NA,reviewer1,Andreas
,A Multi-Component Social Skills Intervention For Children With Asperger Syndrome: The Junior Detective Training Program,"Background: The study aimed to investigate the effectiveness of a new multi-component social skills intervention for children with Asperger syndrome (AS): The Junior Detective Training Program. This 7-week program included a computer game, small group sessions, parent training sessions and teacher handouts. Method: Forty-nine children with AS were recruited to participate and randomly assigned to intervention (n = 26) or wait-list control (n = 23) conditions. Results: Relative to children in the wait-list group, program participants showed greater improvements in social skills over the course of the intervention, as indicated by parent-report measures. Teacher-report data also confirmed that children receiving the intervention made significant improvements in social functioning from pre- to post-treatment. Treatment group participants were better able to suggest appropriate emotion-management strategies for story characters at post-intervention than at pre-intervention, whereas control participants were not. However, there was no difference in the improvements made by children in the intervention and control conditions on facial expression and body-posture recognition measures. Follow-up data suggested that treatment gains were maintained by children at 5-months post-intervention. Conclusions: The Junior Detective Training Program appeared to be effective in enhancing the social skills and emotional understanding of children with AS. Limitations and suggestions for future research are discussed. © 2008 The Authors.",doi,10.1111/j.1469-7610.2008.01920.x,Scopus,Journal of Child Psychology and Psychiatry and Allied Disciplines,"Beaumont R., Sofronoff K.",2008,Article,NA,reviewer1,Andreas
