decision,title,abstract,identifier,id,source,journal,authors,year,type,level,position,name
,"""Baby On Board"": Reducing Risk Taking In Adult Drivers In A Simulated Driving Game","Two studies examined the effects of different socio-affective factors on risk driving behaviour. In Experiment 1, 87 adult drivers we asked to play a computer-based driving game after being exposed to a series of images that depicted infants, police or neutral information (control condition). In Experiment 2 we tested a further 60 adult drivers. We found a significant effect of our manipulation on driving behaviour, with performance being significantly less risky in the infant condition than in the police and control conditions. In addition, this advantage was not simply due to variations in emotions typically associated with infant pictures. The results of this study highlight the importance of studying the role of socio-affective context when investigating factors that influence driving behaviour. © 2012 Elsevier Ltd.",doi,10.1016/j.aap.2012.06.031,Scopus,Accident Analysis and Prevention,"Mammarella N., Fairfield B., Di Domenico A., Di Fiore T.",2013,Article,NA,reviewer1,Lydia
,"""Bouncing Back"" From A Loss: Entrepreneurial Orientation, Emotions, And Failure Narratives","In this study, we explore how failure in the form of the first lost game of the college football season for a team influences specific content within the narratives constructed regarding that loss and how those narratives are associated with subsequent performance. Building on theoretical perspectives regarding sports management, entrepreneurial orientation (EO), emotions, and the use of narratives for sensemaking, we develop and test an EO-related sports management model of failure narratives. Using computer-aided text analysis of transcripts from head coaches' press conferences directly following their team's first loss of the season as well as regression analysis, we found that the narrative's EO content has a U-shaped relationship with subsequent (i.e., next game) performance. Additionally, negative emotional content had a similar U-shaped relationship with subsequent performance. Finally, positive emotional content exhibited an inverse U-shaped relationship with subsequent performance. We discuss the implications of these results on the literatures regarding EO, emotions, and sports management as well as possible avenues for future research. © 2013 Baylor University.",doi,10.1111/etap.12057,Scopus,Entrepreneurship: Theory and Practice,"Wolfe M.T., Shepherd D.A.",2015,Article,NA,reviewer1,Lydia
,"""I Know That You Know How I Feel"": Behavioral And Physiological Signals Demonstrate Emotional Attunement While Interacting With A Computer Simulating Emotional Intelligence","Human-human communication studies have suggested that within communicative interactions, individuals acknowledge each other as intentional agents and adjust their emotion nonverbal behavior according to the other. This process has been defined as emotional attunement. In this study, we examine the emotional attunement process in the context of affective human-computer interactions. To this purpose, participants were exposed to one of two conditions. In one case, they played with a computer that simulated understanding of their emotional reactions while guiding them across four different game-like activities; in the other, the computer guided participants across the activities without mentioning any ability to understand emotional responses. Face movements, gaze direction, posture, vocal behavior, electrocardiogram and electrodermal activity were simultaneously recorded during the experimental sessions. Results showed that if participants were aware of interacting with an agent able to recognize their emotions, they reported that the computer was able to ""understand"" them and showed a higher number of nonverbal behaviors during the most interactive activity. The implications are discussed. © 2014 Springer Science+Business Media New York.",doi,10.1007/s10919-014-0180-6,Scopus,Journal of Nonverbal Behavior,"Balzarotti S., Piccini L., Andreoni G., Ciceri R.",2014,Article,NA,reviewer1,Lydia
,‘Present Yet Absent’: Negotiating Commitment And Intimacy In Life With An Excessive Online Role Gamer,"The study examines how persons in a close relationship with a gamer of massively multiplayer online role-playing games (MMORPG) perceive relationship problems caused by the gaming hobby. Revisiting the concept of pure relationships by Anthony Giddens, we analysed eight deep interviews with persons who claim their relationship with the gamer had ended or turned downhill due to the volume of the gaming. The study formulates a conception of the clashes of interest in areas of (1) situational clashes in everyday choreography, (2) shifts in long view prioritizing, (3) deficient communication and (4) understandings of self and autonomy in relation to gaming and relationship. These conceptual paths serve to understand the problems from a sociological perspective. On a more general level, the study demonstrates the timeliness in devoting attention to the premises under which intimacy and commitment are negotiated in offline and online relationship constellations. © 2016, © The Author(s) 2016.",doi,10.1177/1461444816636091,Scopus,New Media and Society,"Hellman M., Karjalainen S.-M., Majamäki M.",2017,Article,NA,reviewer1,Lydia
,3-D Streaming Supplying Partner Protocols For Mobile Collaborative Exergaming For Health,"Childhood obesity is nowadays considered one of the major health problems that many societies suffer from today. The obesity epidemic leads to several life threatening conditions such as diabetes, heart disease, high blood pressure, and mental health problems like depression, anxiety, and loneliness just to mention a few. Several approaches, including physical exercises, strict diet, and exergames among others, have been adopted to address the obesity epidemic. Exergames are considered the innovative approach for fighting several health problems such as obesity, where a combination of exercise and 3-D gaming are proposed to incite kids to exercise as a team. Collaborative exergaming became even more popular given that it addresses the social side of the obesity epidemic, and it motivates kids to socialize with other kids. Traditional exergames are based on the client-server approach where the server is responsible for streaming the 3-D environment. However, this can lead to latency and server bottleneck if many clients participate in the exergame, which leads to the kids stopping exercising. Having an exergame application that does not suffer from networking problem such as delay, is very important given that it increases the exercise hours. In this paper, we propose a new trend of mobile collaborative exergaming applications that is based on the peer-to-peer architecture, as well as two supplying partner selection protocols that aim at selecting the suitable source responsible for streaming the relevant 3-D data. Our system, that we refer to as MOSAIC, is intended for mobile collaborative exergames that incite kids to move inside a large area, using thin mobile devices such as head-mounted devices, have physical exercises, and collaborate with other kids which in consequence address several health problems such as the obesity epidemic on the physical and social plans. Our proposed mobile collaborative exergame aims at inciting the kids to exercise as a team for a longer time by improving the quality of the streaming and reducing the delay. This is accomplished by our proposed supplying partner selection protocols that provide a quick discovery of multiple supplying partners, by minimizing the time required to acquire the data. The performance evaluation that we have obtained to evaluate our suite of protocols using a realistic set of exergame scenarios for obese kids is then presented and discussed. © 1997-2012 IEEE.",doi,10.1109/TITB.2012.2206116,Scopus,IEEE Transactions on Information Technology in Biomedicine,"Maamar H.R., Boukerche A., Petriu E.M.",2012,Article,NA,reviewer1,Lydia
,A Bioinspired Approach For A Multizone Temperature Control System,"Bioinspired design approaches seek to exploit nature in order to construct optimal solutions for engineering problems as uniform temperature control in multizone systems. The ideal free distribution (IFD) is a concept from behavioural ecology, which describes the arrangement of individuals in different habitats such that at equilibrium, all habitats are equally suitable. Here, we relax the IFD's main assumptions using the standing-crop idea to introduce dynamics into the supplies of each habitat. Then, we make an analogy with a multizone thermal system to propose a controller based on the replicator dynamics model, in order to obtain a maximum uniform temperature subject to constant power injection. Besides, we analytically show that the equilibrium point of the controlled system is asymptotically stable. Finally, some practical results obtained with a testbed and comparisons with the theoretical results are presented. © 2011 IOP Publishing Ltd.",doi,10.1088/1748-3182/6/1/016007,Scopus,Bioinspiration and Biomimetics,"Pantoja A., Quijano N., Leirens S.",2011,Article,NA,reviewer1,Lydia
,A Case Of Massive Pulmonary Thromboembolism In A Young Man Attribute To Computer Gaming,"Pulmonary thromboembolism occurs in old patients with risk factors, such as, immobilization, chronic medical disease, trauma, a hereditary hypercoagulable state, and others. However, we experienced a young man with a massive pulmonary thromboembolism attributed to immobilization due to computer gaming. The patient had been playing computer games in a seated position for at least five hour continually, and for twelve hours per day over a two-week period. The 36-year-old patient was transferred to our institute rule out the possibility of an acute myocardial infarction. Computer tomography revealed intraluminal filling defects in the distal main pulmonary artery and the left popliteal vein. He received thrombolytic therapy and subsequently recovered without complications. This case raises the possibility that prolonged computer gaming is a risk factor of thromboembolism in young adults. Copyright © 2009. The Korean Academy of Tuberculosis and Respiratory Diseases. All rights reserved.",doi,10.4046/trd.2009.66.3.211,Scopus,Tuberculosis and Respiratory Diseases,"Kim H., Choe K.H., Lee K.M., Shin Y.M.",2009,Article,NA,reviewer1,Lydia
,A Comparative Investigation Of Non-Linear Activation Functions In Neural Controllers For Search-Based Game Ai Engineering,"The creation of intelligent video game controllers has recently become one of the greatest challenges in game artificial intelligence research, and it is arguably one of the fastest-growing areas in game design and development. The learning process, a very important feature of intelligent methods, is the result of an intelligent game controller to determine and control the game objects behaviors' or actions autonomously. Our approach is to use a more efficient learning model in the form of artificial neural networks for training the controllers. We propose a Hill-Climbing Neural Network (HillClimbNet) that controls the movement of the Ms. Pac-man agent to travel around the maze, gobble all of the pills and escape from the ghosts in the maze. HillClimbNet combines the hill-climbing strategy with a simple, feed-forward artificial neural network architecture. The aim of this study is to analyze the performance of various activation functions for the purpose of generating neural-based controllers to play a video game. Each non-linear activation function is applied identically for all the nodes in the network, namely log-sigmoid, logarithmic, hyperbolic tangent-sigmoid and Gaussian. In general, the results shows an optimum configuration is achieved by using log-sigmoid, while Gaussian is the worst activation function.©Springer Science+Business Media B.V. 2011.",doi,10.1007/s10462-011-9294-y,Scopus,Artificial Intelligence Review,"Tan T.G., Teo J., Anthony P.",2014,Article,NA,reviewer1,Lydia
,A Comparative Study Of Uses Of The Internet Among College Students With And Without Internet Addiction,"The current study examined uses of the Internet among college students classified as addicted to the Internet or not. Data were gathered from 384 college students. Students classified as Internet Addicted used the Internet more for social functions, leisure functions, and virtual emotional functions, when compared to students considered as Internet Nonaddicted. Effect sizes were large, indicating important group differences in uses of the Internet. © Psychological Reports 2009.",doi,10.2466/PR0.105.F.1103-1112,Scopus,Psychological Reports,"Kesici S., Şahin I.",2009,Article,NA,reviewer1,Lydia
,"A Comparison Of Energy Expenditure During ""Wii Boxing"" Versus Heavy Bag Boxing In Young Adults","Traditional computer videogames are sedentary, whereas new computer videogames, such as the Nintendo® (Redmond, WA) ""Wii™ Sports"" games, allow users to physically interact while playing the sport. Energy expenditure (EE), heart rate (HR), and rating of perceived exertion (RPE) during heavy bag boxing versus the Nintendo ""Wii Boxing"" game were compared. Fifteen males and 14 females (mean age, 25.6 years; height, 171.3 cm; weight, 71.8 kg) randomly selected (by a coin toss) heavy bag boxing or ""Wii Boxing"" for their first test session and completed the other protocol at their second session at least 2 days later. Each session lasted for a total duration of 30 minutes and consisted of 10 3-minute exercise bouts with measurements of HR, RPE, and EE obtained from indirect calorimetry. A paired-samples t test was used to analyze the results. Significant differences were found for HR (bag, 156 beats per minute; Wii, 138 beats per minute; P=0.001) and RPE (bag, 13.8; Wii, 11.4; P=0.0001) but not for EE (bag, 8.0 kcal/minute; Wii, 7.1 kcal/minute; bag, 241 total kcal; Wii, 213 total kcal; P=0.078). The results suggest that computer active videogames, such as the Nintendo Wii, have the potential to provide similar EE as their traditional forms of exercise and may be a sufficient replacement for traditional target HR zone activities, especially in less fit individuals. Further research is needed to compare EE for different ""Wii Sports"" games with those for their traditional forms of exercise. © Copyright 2014, Mary Ann Liebert, Inc. 2014.",doi,10.1089/g4h.2013.0059,Scopus,Games for Health Journal,"Perusek K., Sparks K., Little K., Motley M., Patterson S., Wieand J.",2014,Article,NA,reviewer1,Lydia
,A Computer Game-Based Method For Studying Bullying And Cyberbullying,"Even though previous studies have addressed the relation between face-to-face bullying and cyberbullying, none have studied both phenomena simultaneously. In this article, we present a computer game-based method to study both types of peer aggression among youth. Study participants included fifth graders (N = 93) in two U.S. Midwestern middle schools. Students completed a self-report survey that included measures of aggression, bullying, emotions, and perceptions of school. Next, students were assigned to teams of four and completed both competitive and collaborative games. Results indicated significant correlations between survey measures and in-game interactions and showed that bistrategic players scored higher in relational aggression. These results contribute to the understanding of how face-to-face aggression relates to aggression in computer-mediated communication in middle-school students. ©, Copyright © Taylor & Francis Group, LLC.",doi,10.1080/15388220.2014.963593,Scopus,Journal of School Violence,"Mancilla-Caceres J.F., Espelage D., Amir E.",2015,Article,NA,reviewer1,Lydia
,A Methodology Of Integrating Knowledge Into Applied Game And Validation Of Education And Entertainment Effects,"Applied game aims to help player accumulate knowledge, improve skills, or enhance emotion quotient through game playing process. Although many applied games have been developed in education and training fields, the solution on issues of balance between education and entertainment is still open. This study proposes a methodology for integrating knowledge with applied game combining recreational functions and pedagogic effect. For the purpose, the unified representation based on ontology is employed for game elements, game challenge model and knowledge expression with which the relationship mapping mechanism from diverse categories of knowledge onto game atomic element, especially primary rule, is constructed. As a result, a practical design technique that facilitates to import knowledge into applied game is achieved. In order to verify the practicability, a case of applied game, Qbaby Picture Matching game is designed and developed based on the proposed method. It has been running online and applied in a kindergarten. Moreover, an experiment is performed to identify the effects of education and entertainment. The results imply that the game can definitely produce recreational functions and pedagogic effect. The fact indirectly verifies that the methodology may effectively integrate knowledge with game thereby providing a referable solution for issues of education and entertainment balance. © Springer-Verlag Berlin Heidelberg 2016.",doi,10.1007/978-3-662-50544-1_2,Scopus,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),"Wang Q., Chen H., Li J., Zhu D.",2016,Book Chapter,NA,reviewer1,Lydia
,A Motivational Framework For Analyzing Player And Virtual Agent Behavior,"Today's digital entertainment industry uses different approaches to establish believable agents with personality and to analyze the goal-directed behavior of game players. Academic research in this area usually focuses on one facet of personality - for example, only on emotions or character traits. The techniques applied to create non-player characters can hardly be used to analyze player interactions or choices in a computer game. The present study proposes a motivational framework to predict goal-directed behavior of both player and non-player characters in a computer game and explores the opportunities of using a Player and Agent Personality Database (PAPD) based on the same motivational framework to design virtual agents with personality. This article claims that motivation to reach a goal is influenced by both situational and personal factors that are represented with an equation that determines the likelihood of the occurrence of a behavior. The framework represented by this study takes into account psychological needs, interactions between these needs, general behavioral patterns, lower-order and higher-order personality traits for analyzing gaming experiences and player/non-player choices in a computer game. © 2010 International Federation for Information Processing.",doi,10.1016/j.entcom.2010.09.002,Scopus,Entertainment Computing,Bostan B.,2009,Article,NA,reviewer1,Lydia
,A Multi-Functional Entertaining And Educational Robot,"This paper presents a multi-functional autonomous intelligent robot, DOC-1, which has actions exclusively driven by artificial intelligence programs. The mechanism of this robot was designed to fulfill tasks defined by various functions such as gripping character cubes and teacups, playing the Gobang board game, and rotating and stacking character cubes. Further emphasis was placed on load lifting capability, weight reduction, energy conservation, and performance reliability. The serial port of a minicomputer is used as the communication interface between the software and electromechanical components. A custom-made chip serves as the control kernel that controls the motions of servo motors that move the arms and head of the robot, two DC motors which drive the wheels, and also a number of lights. With the integrated artificial intelligence software and the robot control system, this intelligent robot DOC-1 can perform a number of autonomous functions that make it interactive with human beings. © 2008 Springer Science+Business Media B.V.",doi,10.1007/s10846-008-9241-6,Scopus,Journal of Intelligent and Robotic Systems: Theory and Applications,"Lin C.-Y., Tseng C.-K., Jo P.-C.",2008,Article,NA,reviewer1,Lydia
,A Musical System For Emotional Expression,"The automatic control of emotional expression in music is a challenge that is far from being solved. This paper describes research conducted with the aim of developing a system with such capabilities. The system works with standard MIDI files and develops in two stages: the first offline, the second online. In the first stage, MIDI files are partitioned in segments with uniform emotional content. These are subjected to a process of features extraction, then classified according to emotional values of valence and arousal and stored in a music base. In the second stage, segments are selected and transformed according to the desired emotion and then arranged in song-like structures. The system is using a knowledge base, grounded on empirical results of works of Music Psychology that was refined with data obtained with questionnaires; we also plan to use data obtained with other methods of emotional recognition in a near future. For the experimental setups, we prepared web-based questionnaires with musical segments of different emotional content. Each subject classified each segment after listening to it, with values for valence and arousal. The modularity, adaptability and flexibility of our system's architecture make it applicable in various contexts like video-games, theater, films and healthcare contexts. © 2010 Elsevier B.V. All rights reserved.",doi,10.1016/j.knosys.2010.06.006,Scopus,Knowledge-Based Systems,"Oliveira A.P., Cardoso A.",2010,Article,NA,reviewer1,Lydia
