decision,title,abstract,identifier,id,source,journal,authors,year,type,level,position,name
,"""Choice"" And Feminist Praxis In Neoliberal Times: Autonomous Women In A Postcolonial Visual Culture","This article addresses the visual debate around a new image of the autonomous woman emerging on satellite television in West Bengal, India, a region rapidly changing under the influx of multinational finance. While this image appears to promote a revolutionary vision of choice opposing gender stratifications, it responds to the sexual anxieties of a shifting postcolonial context by reconciling women's choices with patriarchal and communalist values. To justify its ostensible ""feminist"" revolution, the imagery draws upon indigenous oppositional traditions of gender portrayal while flexibly utilizing opposition in the services of an inequitable market. Even as the neoliberal canon of (free) women and (unfree) labor is narrowcast on regional-language satellite channels throughout Bengal and its diasporas, this canon is being debated through critical embodiments of women, work, and choice in oppositional-feminist cinema. I look, on the one hand, at televisual adaptations of woman-centered works by a foremost gender-activist of the anti-colonial era, Rabindranath Tagore. The adaptive canon is read in tandem with a widely popular game show on Bengali satellite television called The Earning Homemaker. On the other hand, I consider how oppositional-feminist filmmaker Aparna Sen is undoing the prevalent canon of woman's autonomy in her recent films. My point overall is to explore how we could disentangle the oppositional from dominant neo-humanist communication patterns. I argue that we must situate various depictions of women's ""choice"" within specific relations of power, distribution, and technologies of persuasion-considering what differs and why the differences tend to be elided. © 2012 Taylor & Francis.",doi,10.1080/14680777.2011.558345,Scopus,Feminist Media Studies,De E.N.,2012,Article,NA,reviewer1,Tamas
,A-Eye: Automating The Role Of The Third Umpire In The Game Of Cricket,"Cricket is a sport that involves two teams, say Team A and Team B, and two field umpires. Initially, Team A bats to score some runs, while Team B balls. Then, Team A balls and Team B bats to overcome the score of Team A. If this happens, then Team B wins. Otherwise, Team A wins. The balling team can dismiss a batsman from scoring through a Run-Out, i.e.; the batsman fails to enter an area before three stumps are dislodged in that area. In this case, a third umpire makes the 'Run-Out/Not-Out' decision through video technology. This process can consume around one minute which disrupts the pace of the game. In this paper, we propose and validate a novel technology called A-Eye, which automates the role of the third umpire. By applying A-Eye to a set of autonomously-filmed Run-Out videos, we show that it is efficient as compared to the third umpire, and almost as accurate. Also, it can be used to estimate a rating for the field umpires. These results have been recognized internationally, and have convinced our local cricket council to employ A-Eye within a professional cricket tournament. © 2012 Elsevier Ltd. All rights reserved.",doi,10.1016/j.eswa.2012.04.044,Scopus,Expert Systems with Applications,"Mahmood T., Ahmed S.O., Nayyer S.H., Swaleh M.H.",2012,Article,NA,reviewer1,Tamas
,A Computer Program For Studying Blood Gases In Respiratory Care,"We developed a computer program in a style of a game to help study blood gases in respiratory care. The program generates five simulated patients from a pool of 11. The player selects one patient, then the program calculates the patient's condition according to initial condition and selected treatment. Condition of the simulated patient may improve or deteriorate accordingly. Every two hours, the program display the data, requests the diagnosis and asks addition/change of treatment. The program then judges if diagnosis is correct. This process is repeated up to 48 hours. Finally a score and comments are displayed according to the performance of the patient and of the player. Students and young physicians used the original disk 312 times and more than 30 copies are distributed throughout the country. It is useful by itself as a self-teaching tool, but even more useful when combined with verbal teaching by instructors. © 1987 Japanese Society of Anesthesiologists.",doi,10.1007/s0054070010155,Scopus,Journal of Anesthesia,Suwa K.,1987,Article,NA,reviewer1,Tamas
,A Computerized Test Battery For The Assessment Of Cardiovascular Reactivity,"Recent evidence has suggested a possible relationship between the tendency to exhibit excessive cardiovascular reactions during psychological challenge and the risk of cardiovascular disease. Valid techniques for reliably assessing such reactions are, however, minimally available. A test battery for the assessment of cardiovascular reactivity to experimental challenge is currently being developed at the University of Pittsburgh in conjunction with the University of Miami and Duke University. An IBM-AT compatible microcomputer is being used for the concurrent collection of physiological data and presentation of the laboratory stressors. Digitized cardiovascular data being collected include EKG, Impedance Cardiogram (ICG), phonocardiogram, and a peripheral pulse wave measure. Blood pressure readings are also being collected and stored on disk. The computer presents three challenging video games, each designed to elicit cardiovascular reactions. Processing programs are being used and developed for the standardized scoring of the digitized signals. To assist in epidemiological research a mobile testing unit has been assembled for the easy administration of the test battery in varying geographical locations. The test battery being developed will increase the feasibility of epidemiological and clinical assessment of stress-induced cardiovascular responses which may substantiate a link between reactivity and cardiovascular disease. © 1991.",doi,10.1016/0020-7101(91)90068-P,Scopus,International Journal of Bio-Medical Computing,"Debski T.T., Kamarck T.W., Richard Jennings J., Young L.W., Eddy M.J., Zhang Y.",1991,Article,NA,reviewer1,Tamas
,A Conceptual Affective Design Framework For The Use Of Emotions In Computer Game Design,"The purpose of this strategy of inquiry is to understand how emotions influence gameplay and to review contemporary techniques to design for them in the aim of devising a model that brings current disparate parts of the game design process together. Emotions sit at the heart of a game player’s level of engagement. They are evoked across many of the components that facilitate gameplay including the interface, the player’s avatar, non-player characters and narrative. Understanding the role of emotion in creating truly immersive and believable environments is critical for game designers. After discussing a taxonomy of emotion, this paper will present a systematic literature review of designing for emotion in computer games. Following this, a conceptual framework for affective design is offered as a guide for the future of computer game design. © 2007-2015 Cyberpsychology: Journal of Psychosocial Research on Cyberspace.",doi,10.5817/CP2015-3-4,Scopus,Cyberpsychology,de Byl P.,2015,Article,NA,reviewer1,Tamas
,A Game-Theoretic Approach For Elastic Distributed Data Stream Processing,"Distributed data stream processing applications are structured as graphs of interconnected modules able to ingest high-speed data and to transform them in order to generate results of interest. Elasticity is one of the most appealing features of stream processing applications. Itmakes it possible to scale up/down the allocated computing resources on demand in response to fluctuations of the workload. On clouds, this represents a necessary feature to keep the operating cost at affordable levels while accommodating user-defined QoS requirements. In this article, we study this problem from a game-theoretic perspective. The control logic driving elasticity is distributed among local control agents capable of choosing the right amount of resources to use by each module. In a first step, we model the problem as a noncooperative game in which agents pursue their self-interest. We identify the Nash equilibria and we design a distributed procedure to reach the best equilibrium in the Pareto sense. As a second step, we extend the noncooperative formulation with a decentralized incentive-based mechanism in order to promote cooperation by moving the agreement point closer to the system optimum. Simulations confirm the results of our theoretical analysis and the quality of our strategies. © 2016 ACM.",doi,10.1145/2903146,Scopus,ACM Transactions on Autonomous and Adaptive Systems,Mencagli G.,2016,Article,NA,reviewer1,Tamas
,A Game Theoretical Approach To Distributed Relay Selection In Randomized Cooperation,"In this paper, the problem of node management in the presence of randomized cooperation is tackled. First, game theory is exploited to model the problem of setting up a cluster of cooperative nodes in a wireless network as a multiplayer noncooperative game. In this game the set of players is made of all the nodes belonging to a potential relay cluster an d the set of actions for each player consists of two options only (characterized by different payoffs), namely transmitting a data packet or remaining silent. Then, a novel strategy for the management of node participation to a distributed cooperative link is derived. The proposed solution is fully distributed, is characterized by autonomous choices made by each potential relay and is of significant practical interest since it guarantees the participation of a proper number of nodes to a virtual antenna array (so avoiding an energy waste associated with an excessive number of cooperating nodes) without requiring any overhead for node management. © 2010 IEEE.",doi,10.1109/TWC.2010.061810.091394,Scopus,IEEE Transactions on Wireless Communications,"Sergi S., Vitetta G.M.",2010,Article,NA,reviewer1,Tamas
,A Game Theoretical Based System Using Holt-Winters And Genetic Algorithm With Fuzzy Logic For Dos/Ddos Mitigation On Sdn Networks,"The ever expanding the usage of cloud computing environments, connected applications and Internet of Things-based devices have progressively increased the amount of data that travels through our networks. Software-defined network (SDN) is an emergent paradigm that aims to support next-generation networks through its flexible and powerful management mechanisms. One of the biggest threats faced by these services nowadays is security management. Attacks based on the denial of service (DoS) are particularly efficient against this paradigm due to its centralized control characteristic. Once this controlling system receives a massive amount of malicious requests, the overall performance of the network operation is impaired. Although several researches propose to address this problem, most of them are reactive approaches, detecting the attacks and warning the network administrators, i.e., after the network is already compromised. This paper presents an autonomic DoS/DDoS defensive approach for SDNs called Game Theory (GT)-Holt-Winters for Digital Signature (HWDS), which unites the anomaly detection and identification provided by an HWDS system with an autonomous decision-making model based on GT. Real collected data and simulated attacks are used by the system to measure its effectiveness and efficiency. Furthermore, we also use a heuristic Fuzzy-GADS method for anomaly detection instead of HWDS, aiming to compare the achieved performance and evaluate the behavior of the presented game theoretical approaches a standalone mitigation module. © 2017 IEEE.",doi,10.1109/ACCESS.2017.2702341,Scopus,IEEE Access,"De Assis M.V.O., Hamamoto A.H., Abrao T., Proenca M.L.",2017,Article,NA,reviewer1,Tamas
,A Land Surface Model Incorporated With Soil Freeze/Thaw And Its Application In Game/Tibet,"Land surface process is of great importance in global climate change, moisture and heat exchange in the interface of the earth and atmosphere, human impacts on the environment and ecosystem, etc. Soil freeze/thaw plays an important role in cold land surface processes. In this work the diurnal freeze/thaw effects on energy partition in the context of GAME/ Tibet are studied. A sophisticated land surface model is developed, the particular aspect of which is its physical consideration of soil freeze/ thaw and vapor flux. The simultaneous water and heat transfer soil sub-model not only reflects the water flow from unfrozen zone to frozen fringe in freezing/thawing soil, but also demonstrates the change of moisture and temperature field induced by vapor flux from high temperature zone to low temperature zone, which makes the model applicable for various circumstances. The modified Picard numerical method is employed to help with the water balance and convergence of the numerical scheme. Finally, the model is applied to analyze the diurnal energy and water cycle characteristics over the Tibetan Plateau using the Game/Tibet datasets observed in May and July of 1998. Heat and energy transfer simulation shows that: (i) There exists a negative feedback mechanism between soil freeze/thaw and soil temperature/ground heat flux; (ii) during freezing period all three heat fluxes do not vary apparently, in spite of the fact that the negative soil temperature is higher than that not considering soil freeze; (iii) during thawing period, ground heat flux increases, and sensible heat flux decreases, but latent heat flux does not change much; and (iv) during freezing period, soil temperature decreases, though ground heat flux increases. © Science in China Press 2006.",doi,10.1007/s11430-006-2028-3,Scopus,"Science in China, Series D: Earth Sciences","Hu H., Ye B., Zhou Y., Tian F.",2006,Article,NA,reviewer1,Tamas
,A Machine Consciousness Approach To The Design Of Human-Like Bots,"This chapter introduces Machine Consciousness as a new research field applied to the development of human-like behaviour of non-player characters (NPCs) in video games. Key aspects, advantages, and challenges of this young research area are discussed using the cognitive architecture CERA-CRANIUM as an illustrative example of an autonomous control system inspired by cognitive theories of human consciousness. Additionally, other cognitive architectures used in video games are also analyzed. The bot codenamed CC-Bot2, winner of the 2K BotPrize 2010 competition and based on the CERA-CRANIUM cognitive architecture, is also described in this chapter. Specifically, the particular way in which CC-Bot2 processes the sensory-motor information and generates sequences of adaptive human-like actions is discussed. We also analyze the main differences between CC-Bot2 and other bots, focusing on the key features that allowed CC-Bot2 to win first place in the competition. Finally, we conclude by describing the main lines of work for future CC-Bot implementations and pointing out major conclusions about the application of Machine Consciousness to the design of believable bots. © 2012 Springer-Verlag Berlin Heidelberg. All rights are reserved.",doi,10.1007/978-3-642-32323-2_7,Scopus,Believable Bots: Can Computers Play Like People?,"Arrabales R., Muñoz J., Ledezma A., Gutierrez G., Sanchis A.",2012,Book Chapter,NA,reviewer1,Tamas
