source,doi,pmid,title,journal,year,type,authors,abstract
anderson2010,10.1016/j.jesp.2009.04.019,NA,Causal effects of violent sports video games on aggression: Is it competitiveness or violent content?,Journal of Experimental Social Psychology,2009,NA,"Anderson, C. A., Carnagey, N. L.","Three experiments examined the impact of excessive violence in sport video games on aggression-related variables. Participants played either a nonviolent simulation-based sports video game (baseball or football) or a matched excessively violent sports video game. Participants then completed measures assessing aggressive cognitions (Experiment 1), aggressive affect and attitudes towards violence in sports (Experiment 2), or aggressive behavior (Experiment 3). Playing an excessively violent sports video game increased aggressive affect, aggressive cognition, aggressive behavior, and attitudes towards violence in sports. Because all games were competitive, these findings indicate that violent content uniquely leads to increases in several aggression-related variables, as predicted by the General Aggression Model and related social–cognitive models."
anderson2010,10.1016/S0065-2601(04)36004-1,NA,Violent video games: Specific effects of violent content on aggressive thoughts and behavior.,Advances in Experimental Social Psychology,2004,NA,"Anderson, C. A., Carnagey, N. L., Flanagan, M., Benjamin, A. J., Eubanks, J., Valentine, J. C.","This chapter presents three experimental studies, one correlational study, and a meta-analysis tested key hypotheses concerning the short-term and long-term impact of exposure to violent video games. Experiment 1 found that violent video games in general increase the accessibility of aggressive thoughts. Experiments 2 and 3 found that playing violent video games increased aggression, even when arousal and affect were controlled. Experiments 2 and 3 also found that trait hostility and trait aggression were positively related to laboratory aggression. Furthermore, there was correlational evidence of a link between repeated exposure to violent video games and trait aggressiveness. Mediational analyses suggested that the trait effects and the violent video game effects on laboratory aggression were partially mediated by revenge motivation. The correlational study uncovered links among habitual exposure to violent video games, persistent aggressive cognitions, and self-reported aggressive behavior. The meta-analyses revealed significant effects of violent video games on aggressive behavior, affect, and cognition; on cardiovascular arousal; and on prosocial behavior."
anderson2010,10.1037/0022-3514.78.4.772,NA,"Video games and aggressive thoughts, feelings, and behavior in the laboratory and in life.",Journal of Personality and Social Psychology,2000,NA,"Anderson, C. A., Dill, K. E.","Two studies examined violent video game effects on aggression-related variables. Study 1 found that real-life violent video game play was positively related to aggressive behavior and delinquency. The relation was stronger for individuals who are characteristically aggressive and for men. Academic achievement was negatively related to overall amount of time spent playing video games. In Study 2, laboratory exposure to a graphically violent video game increased aggressive thoughts and behavior. In both studies, men had a more hostile view of the world than did women. The results from both studies are consistent with the General Affective Aggression Model, which predicts that exposure to violent video games will increase aggressive behavior in both the short term (e.g., laboratory aggression) and the long term (e.g., delinquency). (PsycINFO Database Record (c) 2016 APA, all rights reserved)"
anderson2010,10.1177/0146167286124002,NA,Affect of the game player: Short-term effects of highly and mildly aggressive video games.,Personality and Social Psychology Bulletin,1986,NA,"Anderson, C. A., Ford, C.M.","Two experiments were conducted to examine the effects of playing different types of video games on players' short-term affective states. In the first experiment, college student subjects played 11 different video games and rated them on a number of characteristics. From these ratings, two games were selected for use in Experiment 2. These games differed only in the level of aggression displayed. One was highly aggressive; the other was only mildly aggressive. In Experiment 2, each subject played one of the games or was assigned to a no-game control condition. Hostility, anxiety, and depression subsequently were assessed by the Multiple Affect Adjective Checklist. Hostility was increased in both game conditions, relative to the control group. The high-aggression game led to higher hostility than the mild-aggression game, but the difference was not significant. However, those who had played the high-aggression game were significantly more anxious than either those who played the mild-aggression game or those who played no game (control). As expected, the experimental manipulation of game playing did not yield a main effect on depressive affect. Finally, there was a marginally significant sex by game interaction effect on the depression scores."
anderson2010,NA,NA,"Violent video game effects on children and adolescents: Theory, research, and public policy.","Anderson, C. A., Gentile, D. A., & Buckley, K. E. (2007). Violent video game effects on children and adolescents: Theory, research, and public policy. New York, NY: Oxford University Press.",2007,NA,"Anderson, C. A., Gentile, D. A., Buckley, K. E.",NA
anderson2010,10.1002/ab.10042,NA,Violent video games and aggressive behavior in young women.,Aggressive Behavior,2003,NA,"Anderson, C. A., Murphy, C. R.","The increasing availability of violent video games and their implication in recent school shootings has raised the volume of public debate on the effects of such games on aggressive behavior and related variables. This article reports an experiment designed to test key hypotheses concerning the short term impact of exposure to violent video games on young women, a population that has received relatively little attention in this research literature. Results were that brief exposure to a violent video game increased aggressive behavior. Mediational analyses suggested that the violent video game effect on aggression was not mediated by instrumental aggressive motivation, but was partially mediated by revenge motivation. Other results suggested that the violent video game effect on aggression might be greater when the game player controls a same-sex violent game character."
anderson2010,10.1542/peds.2008-1425,NA,Longitudinal effects of violent video games aggression in Japan and the United States.,Pediatrics,2008,NA,"Anderson, C. A., Sakamoto, A., Gentile, D. A., Ihori, N., Shibuya, A., Yukawa, S., . . . Kobayashi, K.","CONTEXT. Youth worldwide play violent video games many hours per week. Previous research suggests that such exposure can increase physical aggression.OBJECTIVE. We tested whether high exposure to violent video games increases physical aggression over time in both high- (United States) and low- (Japan) violence cultures. We hypothesized that the amount of exposure to violent video games early in a school year would predict changes in physical aggressiveness assessed later in the school year, even after statistically controlling for gender and previous physical aggressiveness. DESIGN. In 3 independent samples, participants’ video game habits and physically aggressive behavior tendencies were assessed at 2 points in time, separated by 3 to 6 months.PARTICIPANTS. One sample consisted of 181 Japanese junior high students ranging in age from 12 to 15 years. A second Japanese sample consisted of 1050 students ranging in age from 13 to 18 years. The third sample consisted of 364 United States 3rd-, 4th-, and 5th-graders ranging in age from 9 to 12 years. RESULTS. Habitual violent video game play early in the school year predicted later aggression, even after controlling for gender and previous aggressiveness in each sample. Those who played a lot of violent video games became relatively more physically aggressive. Multisample structure equation modeling revealed that this longitudinal effect was of a similar magnitude in the United States and Japan for similar-aged youth and was smaller (but still significant) in the sample that included older youth.CONCLUSIONS. These longitudinal results confirm earlier experimental and cross-sectional studies that had suggested that playing violent video games is a significant risk factor for later physically aggressive behavior and that this violent video game effect on youth generalizes across very different cultures. As a whole, the research strongly suggests reducing the exposure of youth to this risk factor."
anderson2010,10.1002/ab.20111,NA,Violent computer games and their effects on state hostility and physiological arousal.,Aggressive Behavior,2006,NA,"Arriage, P., Esteves, F., Carneiro, P., Monteiro, M. B.","An experimental study was conducted to investigate the impact of violent computer games on state hostility, state anxiety and arousal. Participants were undergraduate students, aged from 18 to 25 years. Before the experimental sessions, participants filled in self-report measures concerning their video game habits and were also pre-tested for aggressiveness and trait anxiety. Physiological responses (heart rate and skin conductance) were measured during the experiment. After playing, information about state hostility and state anxiety was collected. The results showed that participants who played the violent game reported significantly higher state hostility, and support the assumption that an aggressive personality moderates the effect of playing a violent game on state hostility. Aggr. Behav. 32:146–158. 2006 © 2006 Wiley-Liss, Inc"
anderson2010,10.1002/smi.1015,NA,Aggressive and non-violent videogames: Short-term psychological and cardiovascular effects on habitual players.,Stress and Health,2004,NA,"Baldaro, B., Tuozzi, G., Codispoti, M., Montebarocci, O., Barbagli, F., Trombini, E., Rossi, N.","The purpose of this study is to evaluate the short-term effects on several physiological (arterial pressure and heart rate) and psychological (anxiety and aggressiveness) indexes of playing violent and non-violent videogames in young adults. The study was carried out on a sample of 22 male participants. Subjects invited to participate in the study were recruited from a videogame leisure club. Before and during playing either a violent or non-violent computer game, blood pressure and heart rate were measured. Before and after the game session, the subjects completed the State-Anxiety Inventory-Y (STAI-Y) and the Buss–Durkee Hostility Inventory. The results of the study showed a range of short-term effects of playing violent and non-violent videogames on arterial pressure and on the state anxiety of subjects, but not on hostility measurements. More specifically, the group that played the violent videogames showed a significant increase in the state anxiety score at the end of the game, as compared to the pre-game self-evaluation, and an increase in the systolic blood pressure while the subjects were playing as compared to pre- and post-game values. A decrease in diastolic blood pressure after playing any game was also found. Copyright © 2004 John Wiley & Sons, Ltd."
anderson2010,10.1207/s1532785xmep0804_1,NA,Repeated exposure to video game play results in decreased blood pressure responding.,Media Psychology,2006,NA,"Ballard, M. E., Hamby, R. H., Panee, C. D., Nivens, E. E.","Repeated exposure to violent media is related to negative outcomes, including aggression, hostility, and cognitive and social deficits. We examined if cardiovascular and emotional responding to video game play changed across 3 weekly sessions. Participants were 41 adolescents (M age = 14.8; male = 29; female = 12) from rural Appalachia. Participants attended 3 weekly sessions and played 1 of 3 video games (basketball, fighting, or horror) each time. Measures included heart rate (HR); systolic blood pressure (SBP); diastolic blood pressure (DBP); self-reported aggression, anger, and reactions to game play; and history of video game play. Resting and posttest cardiovascular measures did not differ from session to session. Adolescents displayed HR and SBP reactivity to game play within each session. They also demonstrated decreased SBP and DBP responding to video game play across the 3-week period, regardless of game content. Affective responses did not change significantly across the course of the experiment. Adolescents who played the violent games reported more frustration and arousal than those who played the sports game. The implications of these findings are discussed."
anderson2010,10.1023/A:1018843304606,NA,Video game violence and confederate gender: Effects on reward and punishment given by college males.,Sex Roles,1999,NA,"Ballard, M. E., Lineberger, R.","We examined reward and punishment behavior amongmale college students (N = 119) following video gameplay. Most participants (N = 96) were White, theremainder (N = 23) were African American; most were from middle- to upper-middle-class backgrounds. Theparticipants played either a nonviolent (NBA Jam) or oneof three levels of a violent (Mortal Kombat) video game.After playing the video game for 15 minutes participants rewarded and punished a male orfemale confederate in a teacher/learner paradigm.Participants rewarded male (but not female) confederateswith significantly more jellybeans under the basketball condition than under any of the martial artsconditions. Participants rewarded confederates moreunder the NBA Jam condition than any of the MortalKombat conditions, but the Mortal Kombat conditions did not differ significantly from one another.Participants punished confederates significantly moreafter playing Mortal Kombat II than after playing NBAJam. While participants were punished more harshly under the Mortal Kombat II condition than theMortal Kombat conditions, these differences were notsignificant. Post hoc analyses showed that females werepunished significantly more stringently as game violence increased, but this finding should beinterpreted with caution."
anderson2010,10.1111/j.1559-1816.1996.tb02740.x,NA,Mortal Kombat: The effects of violent video game play on males’ hostility and cardiovascular responding.,Journal of Applied Social Psychology,1996,NA,"Ballard, M. E., Weist, J. R.","We examined cardiovascular (CV) reactivity and hostility among 30 male undergraduates after either nonviolent (billiards) or 1 of 2 levels of violent videogame play. Violence varied among 2 versions of the game Mortal Kombat (MK1 = less violent, MK2 = more violent)—all other factors (graphics, sound) were held equal. As expected, increased game violence elicited greater CV reactivity and higher scores on hostility measures. Subjects who played MK1 or MK2 had higher heart rate reactivity than those who played billiards. Subjects who played MK2 showed greater systolic blood pressure reactivity than those who played MK1 or billiards. Finally, subjects who played MK2 scored higher on the hostility measures than those who played MK1, who in turn scored higher than those who played billiards. These results indicate that the level of videogame violence, not just violence per se, should be of concern to consumers."
anderson2010,10.1002/ab.20301,NA,How long do the short-term video game effects last?,Aggressive Behavior,2009,NA,"Barlett, C. P., Branch, O., Rodeheffer, C., Harris, R. J.","How long do the effects of the initial short-term increase in aggression and physiological arousal last after violent video game play? Study 1 (N=91) had participants complete pre- and postvideo game measures of aggressive thoughts, aggressive feelings, and heart rate. Then, participants completed Time 3 measures after 4 min or 9 min of delay. Study 2 employed a similar procedure, but had participants (N=91) complete the hot sauce paradigm to assess aggressive behavior after a 0, 5, or 10 min delay. First, results indicated that aggressive feelings, aggressive thoughts, aggressive behavior, and heart rate initially increased after violent video game play. Second, results of the delay condition revealed that the increase in aggressive feelings and aggressive thoughts lasted less than 4 min, whereas heart rate and aggressive behavior lasted 4–9 min. Aggr. Behav. 35:225–236, 2009. © 2009 Wiley-Liss, Inc."
anderson2010,10.1002/ab.20279,NA,"Effects of realism on extended violent and nonviolent video game play on aggressive thoughts, feelings, and physiological arousal.",Aggressive Behavior,2009,NA,"Barlett, C. P., Rodeheffer, C.","Previous research has shown that playing violent video game exposure can increase aggressive thoughts, aggressive feelings, and physiological arousal. This study compared the effects that playing a realistic violent, unrealistic violent, or nonviolent video game for 45 min has on such variables. For the purpose of this study, realism was defined as the probability of seeing an event in real life. Participants (N=74; 39 male, 35 female) played either a realistic violent, unrealistic violent, or nonviolent video game for 45 min. Aggressive thoughts and aggressive feelings were measured four times (every 15 min), whereas arousal was measured continuously. The results showed that, though playing any violent game stimulated aggressive thoughts, playing a more realistic violent game stimulated significantly more aggressive feelings and arousal over the course of play. Aggr. Behav. 35:213–224, 2009. © 2009 Wiley-Liss, Inc."
anderson2010,10.1080/15213260802492018,NA,"The effect of advances in video game technology and content on aggressive cognitions, hostility, and heart rate.",Media Psychology,2008,NA,"Barlett, C. P., Rodeheffer, C., Baldassaro, R., Hinkin, M., Harris, R. J.","Two studies were conducted that tested the moderating role of video game graphics quality in the relationship between video game content and aggression-related variables. In both studies, participants played either a violent or nonviolent video game on one of three video game systems with differing technological computing power (which contributes to the realism depicted in these video games). In Study 2, the moderating and mediating role of immersion was also tested. Results showed that video game violence exposure was related to aggressive cognitions and state of hostility. Video game technology did not moderate this relationship. Finally, immersion, as an individual difference variable, did not moderate or mediate this relationship. This suggests that aggressive cognitions and feelings occur independent of how technologically advanced the graphics are and the extent to which one feels as though they are immersed in a violent video game. Implications and future research are discussed."
