source,pq_id,title,abstract,year,author,type,level
proquest_dt,1807632181,A study of trust development in virtual human-agent teamwork without explicit coordination,"With the advancement in agent technology and social recognition and acceptance of autonomous online services we foresee increasing use of agents in social contexts and, in particular, in human-agent virtual and ad hoc team applications. For such virtual ad hoc teams, particularly those where explicit coordination to determine task allocations are infeasible due to communication and time constraints,  to be effective, agents need to quickly develop an understanding of the expectation of human team members and be able to quickly adapt accordingly. This dissertation  empirically investigates the effects of agent performance, past experience of humans, and agent reputation on human trust in and behavior towards agent teammates. We also study the differences in growth of humans' trust attitudes towards human and agent teammates during initial interactions while achieving team goals.    Ad hoc collaboration of humans and agents without pre-planning is a novel human-agent teamwork concept that enables diverse, high-impact applications including emergency response, group buying, online social movements, and next generation crowd-sourcing. In spite of prior work on the influence of various factors on human trust in automation, very little is known about human trust in ""peer"" agent teammates. This is the first study to investigate these factors in virtual human-agent teamwork without pre-planning or explicit coordination.    This dissertation introduces a repeated team coordination game, the Game of Trust (GoT), in which two players repeatedly cooperate to complete team tasks without prior assignment of subtasks. We systematically evaluate the effects of agent performance, past experience, and agent reputation on human trust in the GoT by performing an extensive set of controlled experiments with subjects recruited from Amazon Mechanical Turk, a crowdsourcing Internet marketplace. We collect both teamwork performance data as well as surveys to gauge participants' trust in their agent partners. A learning agent player is developed by training on collected game data to predict future task choices of humans and is shown to increase social utility by reducing redundant work and increasing team goal achievement rates.    The empirical results indicate that participants were able to respond appropriately to changes in an agent's behavior in terms of trust and contributions to teamwork, that positive (negative) past experience and positive (negative) reputation increase (decrease) human trust in agent teammates, and humans' trust attitudes towards human and agent teammates differ. The results also show that past experience can affect three antecedents of trust: emotional state, game expertise, and expectation. The interplay between these three elements significantly affected the influence of agent performance and reputation on human trust. The detailed findings and the recommendations derived from them in this dissertation will allow agent developers to set appropriate context for more efficient and successful ad hoc collaboration between human and agent peers in virtual teams.    This dissertation enhances our understanding of the changes in human trust in peer level agent teammates with respect to agent trustworthiness, past experience, and agent reputation. The empirical findings provide clear and significant evidence of the influence of key factors on human trust in virtual agent teammates. We also derive several guidelines for agents to follow in practice.",2015,"Hafizoglu, Feyza Merve",THES,Ph.D.
proquest_dt,1753889566,On Fundamental Performance Limits of Delay-Sensitive Wireless Communications,"Mobile traffic is expected to grow at an annual compound rate of 57% from 2014 to 2019, while among the data types that account for this growth mobile video has the highest growth rate. Since a significant portion of mobile video traffic is delay-sensitive, delay-sensitive traffic will play a critical role in future wireless communications. Consequently, future mobile wireless systems will face the dual challenge of supporting large traffic volume while providing reliable service for various kinds of delay-sensitive applications (e.g. real-time conversational video, voice-over-IP (VoIP), and online gaming). Past work on delay-sensitive wireless communications has generally overlooked physical-layer considerations such as modulation and coding scheme (MCS), probability of decoding error, and code blocklength (or coding delay) by employing oversimplified models for the physical-layer. In this dissertation we aim to bridge information theory, communication theory and queueing theory by jointly considering the queueing delay violation probability and the probability of decoding error to identify fundamental trade-offs among wireless system parameters such as MCS, code blocklength, user perceived quality of service, channel fading speed, and average signal-to-noise ratio (SNR).    Throughout this dissertation we focus on wireless communication systems where the channel state information (CSI) is available only at the receiver. We model the underlying wireless channel by a finite-state Markov chain (FSMC) where state transitions happen at each transport block (TB) transmission (i.e. TB-based FSMC). First, we focus on communication schemes without feedback and derive the dispersion of the TB-based FSMC model of the Rayleigh fading channel. The TB-based FSMC dispersion is used to characterize the maximum achievable throughput under probability of decoding error and coding delay constraints for a given modulation scheme. Second, we focus on communication schemes with one bit decision-feedback (e.g. acknowledge (ACK)). We introduce a communication scheme, namely early decoding, where the receiver determines the decoding time based on the available CSI. We characterize the maximum achievable throughput of the early decoding scheme under probability of decoding error and coding delay constraints for a given modulation scheme. Then, we derive the dispersion of parallel additive white Gaussian noise (AWGN) channels with finite discrete input alphabets (e.g. pulse amplitude modulation (PAM)). The dispersion of parallel AWGN channels is used to track the operation of incremental redundancy type hybrid automatic repeat request (IR-HARQ) over the Rayleigh fading channel through the HARQ Markov model (HARQ-MM), introduced here. We use the HARQ-MM to characterize the maximum achievable (average) throughput of IR-HARQ under probability of decoding error and coding delay constraints for a given MCS. Third, we focus on a queueing system where data packets arrive at the transmitter, wait in the queue, and are transmitted over the Rayleigh fading channel with IR-HARQ. We invoke a two-dimensional discrete-time Markov process and develop a recursive algorithm to characterize the maximum achievable (average) system throughput for a given MCS under queueing delay violation probability, and probability of decoding error constraints.",2015,"Sahin, Cenk",THES,Ph.D.
proquest_dt,1733949402,Active target localization and tracking with application to robotic environmental monitoring,"Thanks to advances in miniaturization, computing power, reliable sensors, and battery life, mobile robots are increasingly being used for a wide variety of environmental monitoring tasks. No longer confined to factory floors or controlled environments, robots for remote sensing in dangerous or hard-to-reach  environments could provide the same scalability, precision, and reliability to environmental monitoring as they did to industrial applications.  To enable this kind of long-term, reliable, autonomous mobile sensor deployment, algorithms which can ensure that the robots achieve their sensing tasks are required.    In the first part of the thesis, we study the problem of using one or more mobile robots equipped with bearing sensors to locate a stationary target in minimum time. The problem requires optimizing the measurement locations of the robots  to gather the required information about the target's location.  In addition, when multiple  robots collaborate, we include communication constraints in the path planning objective. Two formulations for this problem are studied. First, we study the offline problem of finding measurement trajectories when the true target location is known. Second, we study the online version and show how to adapt the offline solution to the situation when the target location is not known, while preserving the quality guarantees of the offline solution.    In the second part of the thesis,  we study the problem of locating multiple stationary targets using a single mobile robot. We formulate a novel coverage problem and provide two main results. We first study the problem of initializing consistent estimate  of the targets' locations.  These initial estimates are used to seed an active localization algorithm which is shown to localize the targets quickly.  In a second formulation, we assume that the targets are within a set of polygonal regions, but have no further information about the distribution or number of targets in the environment.  An algorithm is provided which can choose measurement locations to localize all the targets to within desired precision in near optimal time.    In the third part of the thesis, we study the problem of using bearing information to track and capture a moving target. We present two formulations based on  pursuit-evasion games. In the open plane, the objective is for a mobile robot to minimize the distance to a maneuvering target when only uncertain bearing information is available to the robot. Then, we study the problem of capturing the maneuvering target in a closed environment by moving close to it. We show that the size of the environment relative to the sensing noise determines if this is possible.    In addition to theoretical results, we present field studies of using one or  more mobile robots to detect radio transmitters using these results. We show that the algorithms presented are suitable for use in monitoring invasive fish.",2015,"Vander Hook, Joshua David",THES,Ph.D.
proquest_dt,1731272778,"Robot Motion Planning for Tracking and Capturing Adversarial, Cooperative and Independent Targets","The last ten years have seen robots become smaller, lighter and more maneuverable than ever before, paving the way for their use in the service sector, and even in our homes. A key aspect that elevates a network of robots over a bed of sensors is the ability of individual units to autonomously navigate, forming a sensor-actuator network. These added degrees of freedom demand that we revisit existing motion planning and navigation algorithms and extend them to be able to better contribute to the services they are designed to provide.   In deploying autonomous robots away from laboratory-controlled settings and in to real-world environments, care must be taken because they share their space with other autonomous agents. For instance, a typical home robot has to account for people as well as their pets. Imparting a fair degree of autonomy to robot navigation tasks thus requires reasoning about the mobility of other entities in the path-planning process. This is not a trivial task because such agents can not often be easily characterized or quantified, e.g. human navigation depends on many factors including the perception of hazards, experience from long-term memory, even whim.   In this thesis, we take a deep look at the role of the information available to path-planning algorithms in the context of the mobile target-tracking problem. We start with the problem formulation (Chapter 2), in which robots need to keep track of a single mobile target for as long a duration of time as possible. In the game-theoretic sense, the information available to the target has a different characteristic than the information available to the robots. For example, target behavior varies from adversarial ones in defense applications to cooperative ones in service applications. In the chapters that follow, we present the main contributions of this thesis with this role of information during the path-planning process being the common thread.   Traditional surveillance applications assume the worst-case – the target is an adversary actively trying to escape from the robots. We model this strategic interaction with the theory of pursuit-evasion games, wherein a robot pursues a target, which in turn tries to evade it. We study a mathematical variant of the Lion and Man game in the presence of an obstacle, and show that the final outcome of whether the lion can track down the man depends, in closed form, on the initial conditions (Chapter 3). We derive optimal player strategies that work regardless of what the other player does, thus providing the worst-case guarantees that such applications demand.   At the opposite end of the spectrum, there exist service applications where the target’s trajectory is known to the robots before they need to move. Our motivating example is mobile telepresence, or virtual presence – an emerging technology that enables people to participate in environments they are not physically present in. Specifically, we present a navigation algorithm for a first-of-its-kind person-following robot with telepresence and monitoring applications (Chapter 4). We require that in the presence of another person, the robot should ensure a safe distance by following that person’s path without losing track. We present a heuristic planning approach that accounts for both non-holonomic constraints and trajectory smoothness. Further, a control-theoretic implementation is provided.   Targets that navigate autonomously usually do so with their own intentions. While it is uncertain how they navigate, their behavior may neither be adversarial, nor completely known to the robots in advance. We present a novel data-driven probabilistic mobility model that can be used by path planners to reason about the uncertainties in decisions made by an individual who is navigating in an indoor environment (Chapter 6). We show that it is possible to preserve long temporal histories over an abstracted representation of the environment, which helps predict future mobility of the target better than previous approaches. We present a multi-robot planning algorithm that builds off of this model. Although our algorithm is designed for long-term planning and offline solution, we are able to execute the robot paths in real-time, and demonstrate extended utility with simulations. We discuss the architecture of a complete system implementation for the telepresence application, including both hardware design and software development (Chapter 8). With an increasing aging population in the U.S., it is our belief that such a system would become relevant in the near future, e.g., to assisted living facilities for purposes of healthcare monitoring.",2015,"Karnad, Nikhil",THES,Ph.D.
proquest_dt,1708665164,Hierarchical goal networks: Formalisms and algorithms for planning and acting,"In real-world applications of AI and automation such as in robotics, computer game playing and web-services, agents need to make decisions in unstructured environments that are open-world, dynamic and partially observable. In the AI and Robotics research communities in particular, there is much interest in equipping robots to operate with minimal human intervention in diverse scenarios such as in manufacturing plants, homes, hospitals, etc. Enabling agents to operate in these environments requires advanced planning and acting capabilities, some of which are not well supported by the current state of the art automated planning formalisms and algorithms. To address this problem, in my thesis I propose a new planning formalism that addresses some of the inadequacies in current planning frameworks, and a suite of planning and acting algorithms that operate under this planning framework.   The main contributions of this thesis are: - Hierarchical Goal Network (HGN) Planning Formalism. This planning  formalism combines aspects (and therefore harnesses advantages) of Classical Planning and Hierarchical Task Network (HTN) Planning, two of the most prominent planning formalisms currently in use. In particular, HGN planning algorithms, while retaining the efficiency and scalability advantages of HTNs, also allows incorporation of heuristics and other reasoning techniques from Classical Planning. -  Planning Algorithms. Goal Decomposition  Planner (GDP) and the Goal Decomposition with Landmarks (GoDeL) planner are two HGN planning algorithms that combines hierarchical decomposition with classical planning heuristics to outperform state-of-the-art HTN planners like SHOP and SHOP2. -  Integration with Robotics. The Combined HGN and Motion Planning (CHaMP) algorithm integrates GoDeL with low-level motion and manipulation planning algorithms in Robotics to generate plans directly executable by robots.   Given the need for autonomous agents to operate in open, dynamic and unstructured environments and the obvious need for high-level deliberation capabilities to enable intelligent behavior, the planning-and-acting systems that are developed as part of this thesis may provide unique insights into ways to realize these systems in the real world.",2015,"Shivashankar, Vikas",THES,Ph.D.
proquest_dt,1540510743,Charlie: A new robot prototype for improving communication and social skills in children with autism and a new single-point infrared sensor technique for detecting breathing and heart rate remotely,"This research delivers a new, interactive game-playing robot named CHARLIE and a novel technique for remotely detecting breathing and heart rate using a single-point, thermal infrared sensor (IR). The robot is equipped with a head and two arms, each with two degrees of freedom, and a camera. We trained a human hands classifier and used this classifier along with a standard face classifier to create two autonomous interactive games: single-player (""Imitate Me, Imitate You"") and two-player (""Pass the Pose""). Further, we developed and implemented a suite of new interactive games in which the robot is teleoperated by remote control. Each of these features has been tested and validated through a field study including eight children diagnosed with autism and speech delays. Results from that study show that significant improvements in speech and social skills can be obtained when using CHARLIE with the methodology described herein. Moreover, gains in communication and social interaction are observed to generalize from child-to-robot to co-present others through the scaffolding of communication skills with the systematic approach developed for the study.  Additionally, we present a new IR system that continuously targets the sub-nasal region of the face and measures subtle temperature changes corresponding to breathing and cardiac pulse. This research makes four novel contributions: (1) A low-cost, field-tested robot for use in autism therapy, (2) a suite of interactive robot games, (3) a hand classifier created for performing hand detection during the interactive games, and (4) an IR sensor system which remotely collects temperatures and computes breathing and heart rate. Interactive robot CHARLIE is physically designed to be aesthetically appealing to young children between three and six years of age. The hard, wood and metal robot body is covered with a bright green, fuzzy material and additional padding so that it appears toylike and soft. Additionally, several structural features were included to ensure safety during interactive play and to enhance the robustness of the robot. Because children with autism spectrum disorder (ASD) often enjoy exploring new or interesting objects with their hands, the robot must be able to withstand a moderate amount of physical manipulation without causing injury to the child or damaging the robot or its components. CHARLIE plays five distinct interactive games that are designed to be entertaining to young children, appeal to children of varying developmental ability and promote increased speech and social skill through imitation and turn-taking.  Remote breathing and heart rate detection Stress is a compounding factor in autism therapy which can inhibit progress toward specific therapeutic goals. The ability to non-invasively detect physical indicators of increasing stress, especially when they can be correlated to specific activities and measured in terms of length and frequency, can relay important metrics about the antecedents that cause stress for a particular child and can be used to help automate the evaluation of a child's progress between sessions. Further, collecting and measuring critical physiological indicators such as breathing and heart rate can enable robots to adjust their behavior based on the perceived emotional, psychological or physical state of their user. The utility and acceptance of robots can be further increased when they are able to learn typical physiological patterns and use these patterns as a baseline for identifying anomalies or possible warning signs of various problems in their human users.  We present a new technique for remotely collecting and analyzing breathing and heart rates in real time using an autonomous, low cost infrared (IR) sensor system. This is accomplished by continuously targeting a high precision IR sensor, tracking changes in the sub-nasal skin surface temperature and employing a sinusoidal curve-fitting function, Fast Fourier Transform (FFT), and Discrete Wavelet Transform (DWT) to extract the breathing and heart rate from recorded temperatures.",2013,"Boccanfuso, Laura",THES,Ph.D.
proquest_dt,1500827076,Distributed constrained Bayesian optimization: Autonomous camera control,"This dissertation describes methods to autonomously control an  intelligent camera network with changeable pan, tilt, and zoom (PTZ) parameters for the purpose of obtaining high resolution facial imagery of randomly maneuvering targets. Every camera is treated as a self interested decision making agent that works in cooperation with the other agents in the network to attain a predefined system goal. The per camera per target image quality is designed and defined mathematically to formulate a distributed constrained optimization problem. Each camera is restricted to alter its own PTZ settings. All cameras use information broadcasted by neighboring cameras such that the PTZ parameters of every camera are optimized relative to the global objective. At certain times of opportunity, due to the configuration of the targets relative to the cameras, and the fact that each camera may track many targets, the camera network may be able to reconfigure itself to achieve a required target tracking specification for each target with remaining degrees-of-freedom. The remaining degrees-of-freedom can be used to obtain high resolution facial images from desirable viewing angles for certain targets. The challenge is to design algorithms that autonomously find these time instants, the appropriate imaging camera, and the appropriate parameter settings for all cameras to capitalize on these opportunities. The methodologies and solutions proposed herein involve a Bayesian formulation. The Bayesian formulation automatically trades off objective maximization versus the risk of losing target tracking performance. The dissertation describes a mathematical formulation of the visual sensing problem, design of functions that provide a measure of system performance, development of distributed methodologies that allows cameras to exchange information and asymptotically converge on optimal solutions, and incorporation of planning into the PTZ optimization methodology. The work herein presents theoretical solutions and analyses of results obtained on a simulated network of smart PTZ cameras.",2013,"Morye, Akshay Ajit",THES,Ph.D.
proquest_dt,1492749212,Path Planning in Similar Environments,"Path planning aims at navigating a robot from an initial configuration to a goal configuration without violating various constraints. The problem of path planning is theoretically intractable (PSPACE hard), but in everyday life we (as human beings) navigate in our environment without much difficulty. This is partially due to the experiences we learned since childhood. The learning process may be complex, but one of the reasons that we can learn such tasks is that most objects we encounter today are similar or identical to the objects we encountered yesterday or even years ago. Environments with similar objects are quite common. For example, desks and chairs in a classroom or in an office may be moved around from one place to another frequently, but unfamiliar items are seldom introduced. Even different environments, such as two apartments, or a manufacturing factory and an airport garage, may share many similar items. The main differences are usually in the arrangements. Similar environments can also be found in simulated reality, e.g., in different levels of a video game or in the different regions of a virtual reality world, where many objects are intentionally duplicated to reduce the (e.g., modeling and rendering) complexity. A dynamic environment where obstacles allowed to move can be considered as a continuous sequence of similar static environments due to motion coherence. We term ""discrete similar-workspace problem"" for static environments and ""continuous similar-workspace problem"" for dynamic environments. In this thesis, I investigated path planners that can address both problems and recognize this similarity in order to significantly improve efficiency and completeness.    More specifically, I developed a path planner which exploits similarity across different static environments. This planner remembers the computation (the ""mental image"") for every obstacle encountered. Given a new problem, by carefully reusing these existing computations, the planner quickly builds a roadmap from its knowledge base. In order to improve reusability, I also designed a new shape matching method for polygons. The experimental results show that the planner is 3–8 orders of magnitude faster than most existing methods in environments with various similarity. Moreover, the success rate is kept at 100%. In other words, once a query is solved, it guarantees to be able to find a collision free path in the subsequent runs.    Environments with dynamic obstacles can also be viewed as a sequence of similar environments. In fact, existing methods have explored the temporal coherence (i.e. similarity) and gain efficiency by preserving the bulk of the roadmap and only repairing the invalid part due to motions of obstacles. However, all these methods repair blindly and periodically at fixed time intervals with little attempt to analyze the similarity or changes of the planning spaces across different time instances. This results in either redundant updates or failure to detect invalid edges and nodes. Based on the assumption that obstacles move along some known trajectories, we proposed a motion planner that detects critical moments when the topology of the free configuration space changes. The critical moments can be classified into two categories: 1) a time of contact is when the space between two configuration obstacles closes, and 2) a  time of separation is when the space opens up. As shown in the experimental results, our planner not only avoids redundant computation (about one order of magnitude faster) but also improves the chances of finding a valid path.    In many real life applications such as rescue robots and autonomous vehicles, the robot may have no prior knowledge of obstacles' motions. I developed a new geometric tool which allows the robot to determine the critical moments when the robot and obstacles can collide. Then, only at such critical moments, the robot updates its belief of the environment and re-plans if necessary. The main challenge in predicting collision stems from the assumption that obstacles' motions are unknown. To provide conservative estimation, this new tool models all obstacles as adversarial agents so that obstacles will move in the way to minimize the time that the robot remains collision-free.",2013,"Lu, Yanyan",THES,Ph.D.
proquest_dt,1461396137,Interactive Learning for Sequential Decisions and Predictions,"Sequential prediction problems arise commonly in many areas of robotics and information processing: e.g., predicting a sequence of actions over time to achieve a goal in a control task, interpreting an image through a sequence of local image patch classifications, or translating speech to text through an iterative decoding procedure.    Learning predictors that can reliably perform such sequential tasks is challenging. Specifically, as predictions influence future inputs in the sequence, the data-generation process and executed predictor are inextricably intertwined. This can often lead to a significant mismatch between the distribution of examples observed during training (induced by the predictor used to generate training instances) and test executions (induced by the learned predictor). As a result, naively applying standard supervised learning methods—that assume independently and identically distributed training and test examples—often leads to poor test performance and compounding errors: inaccurate predictions lead to untrained situations where more errors are inevitable.    This thesis proposes general iterative learning procedures that leverage interactions between the learner and teacher to provably learn good predictors for sequential prediction tasks. Through repeated interactions, our approaches can efficiently learn predictors that are robust to their own errors and predict accurately during test executions. Our main approach uses existing no-regret online learning methods to provide strong generalization guarantees on test performance.    We demonstrate how to apply our main approach in various sequential prediction settings: imitation learning, model-free reinforcement learning, system identification, structured prediction and submodular list predictions. Its efficiency and wide applicability are exhibited over a large variety of challenging learning tasks, ranging from learning video game playing agents from human players and accurate dynamic models of a simulated helicopter for controller synthesis, to learning predictors for scene understanding in computer vision, news recommendation and document summarization. We also demonstrate the applicability of our technique on a real robot, using pilot demonstrations to train an autonomous quadrotor to avoid trees seen through its onboard camera (monocular vision) when flying at low-altitude in natural forest environments.    Our results throughout show that unlike typical supervised learning tasks where examples of good behavior are sufficient to learn good predictors, interaction is a fundamental part of learning in sequential tasks. We show formally that some level of interaction is necessary, as without interaction, no learning algorithm can guarantee good performance in general.",2013,"Ross, Stephane",THES,Ph.D.
proquest_dt,1176509453,Tractable Learning of Graphical Model Structures from Data,"Probabilistic graphical models (PGMs) provide a way to represent variables (nodes) along with their conditional dependencies (edges) and therefore allow formalizing our knowledge of the interacting entities in the real world. Structure learning aims to discover the topology (and parameters) of a PGM that represents accurately a given dataset. Accuracy of representation can be measured by the likelihood that the PGM explains the observed data, which leads to maximum likelihood estimation (MLE).    From an algorithmic point of view, one challenge faced by structure learning is that the number of possible structures is super-exponential in the number of variables. From a statistical perspective, it is important to find good regularizers in order to avoid over-fitting and to achieve better generalization performance. Regularizers aim to reduce the complexity of the PGM, which can be measured by its number of parameters.    First, we present three regularizers for MLE of Gaussian Markov random fields (MRFs): local constancy for datasets where variables correspond to a measurement in a manifold (silhouettes, motion trajectories, 2D and 3D images); variable selection for finding few interacting nodes from datasets with thousands of variables; and multi-task learning for a more efficient use of data which is available for multiple related tasks.  For these regularizers, we show bounds of the eigenvalues of the optimal solution, convergence of block coordinate descent optimization, and connections to the continuous quadratic knapsack problem and the quadratic trust-region problem.    Second, we focus on learning sparse discrete MRFs through MLE. In this case, computing the objective function as well as its gradient is NP-hard. We study the convergence rate of stochastic optimization of exact NP-hard objectives, for which only biased estimates of the gradient are available. We provide a convergence-rate analysis of deterministic errors and extend our analysis to biased stochastic errors.    Third, we show general results for PGMs that allow understanding MLE with regularizers on the differences of parameters (e.g. sparse structural changes, time-varying models), the generalization ability of PGMs, and the use of PGM parameters as features in classification, dimensionality reduction and clustering. To this end, we show that the log-likelihood of several PGMs is Lipschitz continuous with respect to the parameters, and derive bounds on the Kullback-Leibler divergence, expected log-likelihood and Bayes error rate.    Finally, we formalize and study the problem of learning the structure of graphical games from strictly behavioral data. We propose MLE of a generative model defined by the Nash equilibria of the game. The formulation brings out the interplay between goodness-of-fit and model complexity: good models capture the equilibrium behavior represented in the data while controlling the true number of equilibria, including those potentially unobserved. We provide a generalization bound for MLE. We discuss several optimization algorithms including convex loss minimization, sigmoidal approximations and exhaustive search. We formally prove that games in our hypothesis space have a small true number of equilibria, with high probability; thus, convex loss minimization is sound.    We present experimental results on a wide range of real-world datasets: walking video sequences, motion capture, cardiac MRI, brain fMRI, gene expression, stock prices, world weather and congressional voting.",2012,"Honorio Carrillo, Jean Fausto",THES,Ph.D.
