source,psyid,pmid,doi,title,abstract,year,month,day,journal,authors
psycInfo,2011-05722-000,NA,NA,Therapeutic feedback with the MMPI-2: A positive psychology approach.,"Therapeutic Feedback with the MMPI-2: A Positive Psychology Approach provides the clinician with empirically based, practical information about how to convey the abundance of information in the MMPI-2 profile in a way that is collaborative, empathy, hopeful, and facilitates a therapeutic alliance. Readers will find this book to be as useful and applicable as the MMPI-2 itself, which is used in psychiatric hospitals, correctional settings, and in evaluations for job selection, general medicine, forensic and child custody cases, and even screenings for television game and reality shows. The authors expand upon this already robust test by demonstrating how therapeutic assessment and feedback can be improved upon by considering three contributions from positive psychology: 1. That behavior can be viewed as potentially adaptive; traditional pathological and maladaptive behaviors can be reframed as understandable responses to stressors. 2. That therapeutic feedback is empathy, nonjudgmental, and mostly jargon free; humans respond to overwhelming stress in understandable ways to which the therapist can give coherence and meaning. 3. That therapeutic feedback stresses self-esteem and resilience building through self-awareness as a goal. Discussion centers around 10 scales and 27 common code types. Each section addresses the complaints, thoughts, emotions, and traits and behaviors associated with the profile; therapists' notes; lifestyle and family background; modifying scales; therapy and therapeutic pitfalls; feedback statements; and treatment and self-help suggestions. The larger page size reflects the size of the MMPI-2 interpretive reports and makes it easy for clinicians to copy pages of the book to share with their clients. Therapeutic Feedback with the MMPl-2 is the most detailed volume available on MMPI-2 feedback and is a valuable addition to the bookshelf of any clinician who uses this test. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2011,NA,NA,NA,"Levak, Richard W.; Siegel, Liza; Nichols, David S.; Stolberg, Ronald A."
psycInfo,2016-11161-001,NA,10.1016/B978-0-12-801738-8.00001-4,"Video games, nightmares, and emotional processing.","Humans are natural storytellers. Besides the survival benefit that comes with remembering and recounting past events, stories rouse our emotions. What started with the oral tradition of sitting around a fire and telling a tale has now evolved to include digital mediums. Different paradigms for conveying a story have been created with each new technological discovery, and the pace of development is getting faster. If books can be considered one-dimensional stories, the added visuals of movies could be two-dimensional stories. We argue that video games are three-dimensional because they give the player another layer of experience with the story: control. The sense of being part of the world and influencing it achieves a level of immersion that cannot be attained with traditional storytelling and ultimately evokes an emotional response unobtainable by any other means. In this chapter, we explore how video games are an interface between computers and human emotions. In a non-obvious way, gaming can alter our emotions in the long term, and they accomplish this indirectly—while we are asleep. To understand this process, a few points must first be understood about sleeping and, most importantly, dreaming. If our brains can be compared with computer systems, then our dreams are the monitors set to display a raw feed of binary data. The neural processes that occur during sleep are deeply involved with our emotions (especially our ability to regulate them) and video-gameplay undoubtedly influences them. By studying dreams, researchers are looking indirectly at one aspect of the brain’s nighttime processing and discovering the implications that video-gameplay have on our lives, dreaming, and waking. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2016,NA,NA,NA,"Bown, Johnathan; Gackenbach, Jayne"
psycInfo,2015-46837-022,NA,NA,Media uses in emerging adulthood.,"This chapter reviews recent literature on uses, effects, and gratifications of media during emerging adulthood. The authors examine traditional media forms, including television, films, video games, music, and books, and also newer media, such as cell phones, social networking sites, and other internet use, finding that emerging adults spend more time using media than they spend doing any other activity, with most time being spent on the Internet and listening to music. They also find that exposure to certain types of media content can influence both positive and negative outcomes in emerging adulthood, including aggressive and prosocial behavior, body image, sexual behavior, friendship quality, and academic achievement. The authors show that emerging adults use media to gratify certain needs, key among them entertainment, autonomy, identity, and intimacy needs. The authors discuss areas for future research involving media and emerging adulthood. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2016,NA,NA,NA,"Coyne, Sarah M.; Padilla-Walker, Laura M.; Howard, Emily"
psycInfo,2016-11161-008,NA,10.1016/B978-0-12-801738-8.00008-7,Educational neuroscience and the affective affordances of video games in language learning.,"The purpose of this chapter is to explore some of the affective affordances that video games offer within the context of language learning, particularly within the field of English as a Foreign Language (EFL), through a case study of adult life-long learners’ experiences with several popular commercial off-the-shelf video games. First, this chapter reviews some of the neuroscience evidence of emotion’s role in learning. Second, it examines video games’ multifarious effects on people and their connection to learning, as well as some of the theories about game-based learning. Third, there are details of the case study with adult life-long learners of EFL in Tokyo, Japan, examining the affective elements of a wide range of video games from different genres using both quantitative and qualitative data. Finally, there is a discussion of the findings from the case study. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2016,NA,NA,NA,"Gorham, Tom; Gorham, Jon"
psycInfo,2016-11161-000,NA,NA,"Emotions, technology, and digital games.","This book taps into the vast emotions players experience during and after digital game play--enjoyment, excitement, anxiety, anger, frustration, among many others. The book demonstrates how to harness these emotions in practical ways such as designing video games for teaching and learning, creating tools to measure social and emotional development of children, determining how empathy-related thought processes affect ethical decision-making, and examining how the fictional world of gameplay can influence and shape real-life experiences. The text: (1) describes how to manage a player's affective reactions; (2) Applies the emotional affect to making games more immersive; (3) Examines game-based learning and education; (4) Identifies which components of online games support socio-emotional development; and (5) Discusses the impact of game-based emotions beyond the context of games. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2016,NA,NA,NA,"Tettegah, Sharon Y.; Huang, Wenhao David"
psycInfo,2016-19288-000,NA,10.1007/978-3-319-31075-6,Clinical neuropsychology and technology: What’s new and how we can use it.,"This ambitious and accessible guide reviews innovative technologies enhancing the field of neuropsychological testing. Starting with the premise that standard batteries—some nearly a century old—lag behind in our era of neuroimaging, genomic studies, psychophysiology, and informatics, it presents digital measures offering more efficient administration, more accurate data, and wider clinical applications. Ecological validity and evidence-based science are key themes in these advances, from virtual environments and assessment of social cognition to the shift toward situational reliability and away from lab-created constructs. These chapters also demonstrate how high-tech assessment tools can complement or supplement traditional pencil-and-paper measures without replacing them outright. This book covers in depth: • The evolution of neuropsychological testing over the past century. • Current applications of computer-based neuropsychological assessments. • The strengths and limitations of simulation technology. • The use of tele neuropsychology in reaching remote clients. • The potential of gaming technologies in neurocognitive rehabilitation. • How technology can transform test data into information useful across specialties. Clinical Neuropsychology and Technology brings neuropsychology, clinical psychologists, and rehabilitation specialists into the vanguard of assessment measures and processes that will translate into more accurate testing, collaborations between disciplines, and valid and useful outcomes. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2016,NA,NA,NA,"Parsons, Thomas D."
psycInfo,2016-11161-012,NA,10.1016/B978-0-12-801738-8.00012-9,Collaboration and emotion in Way.,"In this chapter, we explore how participants use nonverbal cues to express emotion and to collaborate with each other, in an online game, Way. We posit that observing how people express emotion and work together to solve problems in an online collaborative game, such as Way, can help us to better design future collaborative games. Emotion is a key component of collaboration, since individuals use emotional cues to help regulate group activity (Van Kleef, 2009), and these cues need to be supported through the design of a collaborative game or other online activity involving multiple people. Way is an online synchronous game where two players play the game, and each player controls one avatar. In the game, each player relies heavily on one another to play. Computer-mediated environments 'turn communication into substance' (Dillenbourg, 2005) by creating an artifact of the learning process, which can be reflected upon to further learning. In a sense, the cognitive load required by collaborators in a face-to-face environment is lessened, so the cognitive resources can focus on the activities that lead to reaching learning goals. In this chapter, we describe previous research related to collaboration, emotion, and nonverbal communication, particularly in online environments. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2016,NA,NA,NA,"Schrier, Karen; Shaenfield, David"
psycInfo,2017-14729-008,NA,NA,"QEEG and 19 channel neurofeedback as a clinical evaluation tool for children with attention, learning and emotional problems.","Attention, learning and emotional problems can have different causes that cannot be easily and clearly distinguished by clinical testing methods. However, QEEG and, even more so, live 19 channel Z-score training under different task conditions can both give very detailed insights about the specific functioning and dysregulations of an individual's brain. The clinical intake evaluation of the child is optimized by including a quantitative, neurometric analysis of an eyes open (EO) and eyes closed (EC) EEG acquisition combined with a real-time analysis of the child's (in vivo) brain functioning during a specific set of conditions. This method was developed and refined with more than 300 children who were tested between June 2012 and April 2014. The goal is to get as much information as possible in only one session lasting 45 to 60 minutes. The different parts of the evaluation consist of: eyes open (EO) and eyes closed (EC) collection of data, display of the actual brainwaves, listing of the Z-score values (also presented as plots or instant brain maps with different task conditions), followed by games to play with a challenge condition. In addition, current source density (CSD) sLORETA of the different wave frequencies (usually delta, theta, alpha, beta and gamma bands), distribution and velocity are shown as they change, as well as when the brain evaluates emotions. The session ends with a brief, individual 19 channel training with video feedback. Because of the usefulness of the information obtained from using this QEEG method, the author recommends that QEEG and an interactive neurofeedback session be included as a standard component in the diagnosis of and treatment planning for children with attention, learning and emotional problems. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,NA,NA,NA,"Stöckl-Drax, Theresia"
psycInfo,2016-54580-000,NA,NA,"The adolescent brain: Changes in learning, decision-making and social relations.","In recent years there have been tremendous advances In understanding how brain development underlies behavioral changes in adolescence. Based on the latest discoveries in the research field, Eveline A. Crone examines changes in learning, emotions, face processing and social relationships in relation to brain maturation, across the fascinating period of adolescent development. This book covers new insights from brain research that help us to understand what happens when children turn Into adolescents and then into young adults. Why do they show increases in sensation-seeking, risk-taking and sensitivity to opinions of friends? With the arrival of neuroimaging techniques, It Is now possible to unravel what goes on in an Individual's brain when completing cognitive tasks, when playing computer games, or when engaging in online social Interactions. These findings help reveal how children learn, control thoughts and actions, plan activities, control emotions and think about intentions of others, offering a new perspective on behavior and motivations of adolescents. This Is the first comprehensive book to cover the many domains of adolescent brain development, stretching from cognitive to affective to social development. It is valuable reading for students and researchers in the field of adolescent development and developmental cognitive neuroscience and those interested in how the developing brain affects behavior In the teenage years. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,NA,NA,NA,"Crone, Eveline A."
psycInfo,2017-00889-073,NA,10.4018/978-1-5225-0159-6.ch073,Product placement in video games: Image transference among emotions.,"Organizations look for new ways of communication as traditional media is being saturated with advertising messages. One of the alternatives is product placement in video games. This chapter analyses this new communication alternative. Moreover, through an investigation the chapter shows the consequences of placing a brand in this form of electronic entertainment—in the sense of image transfer from the video game to the brand. Specifically, this chapter focuses on the emotions evoked by the video game. Therefore, the present study develops a scale of emotions adapted to the theme of this research. Additionally, this study analyses the differences between types of product placement and their effects in the image transfer. All conclusions are extracted from the concept map technique. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2016,NA,NA,NA,"Küster, Inés; Vila, Natalia; Hernández, Asunción; Canales, Pedro; Castillo, Vicente"
