source,psyid,pmid,doi,title,abstract,year,month,day,journal,authors
psycInfo,2008-18158-011,19006532,10.1111/j.1651-2227.2008.01096.x,Playing a violent television game affects heart rate variability.,"[Correction Notice: An erratum for this article was reported in Vol 100(9) of Acta Paediatrica (see record [rid]2011-18375-027[/rid]). In the original article, the software extracted heart rate variability (HRV) frequency bands incorrectly. The corrections are given in the erratum.] Objective: To investigate how playing a violent/nonviolent television game during the evening affects sympathetic and parasympathetic reactions during and after playing as well as sleep quality during the night after playing. Subjects and Methods: In total, 19 boys, 12–15 years of age, played television games on two occasions in their homes and participated once without gaming. Heart rate, heart rate variability (HRV) and physical activity were measured during gaming/participating and the night to follow using a portable combined heart rate and movement sensor. A sleep diary and questionnaires about gaming experiences and session-specific experiences were filled in. Criteria for Selection of Games: Violent game involves/rewards direct physical violence (no handguns) against another person, and nonviolent game involves/rewards no violence; same game design (‘third-person game’); conducted in the same manner; no differences concerning motor activity; similar sound and light effects; no sexual content, violence against women or racial overtones. Results: During violent (vs. nonviolent) gaming, there was significantly higher activity of the very low frequency component of the HRV and total power. During the night after playing, very low frequency, low frequency and high frequency components were significantly higher during the violent (vs. nonviolent) condition, just as total power. There were no significant differences between the three conditions (violent/nonviolent/no gaming) with respect to an index reflecting subjectively perceived sleep difficulties. Nor was there any difference between violent and nonviolent condition for any single sleep item. Conclusion: Violent gaming induces different autonomic responses in boys compared to nonviolent gaming—during playing and during the following night—suggesting different emotional responses. Subjectively perceived sleep quality is not influenced after a single gaming experience. Future studies should address the development of the autonomic balance after gaming over longer time than a night, physiological adaptation to frequent gaming and potential gender differences. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2009,1,NA,Acta Paediatrica,"Ivarsson, Malena; Anderson, Martin; Åkerstedt, Torbjörn; Lindblad, Frank"
psycInfo,2011-18375-027,NA,10.1111/j.1651-2227.2011.02424.x,'Playing a violent television game affects heart rate variability': Corrigendum.,"Reports an error in 'Playing a violent television game affects heart rate variability' by Malena Ivarsson, Martin Anderson, Torbjörn Åkerstedt and Frank Lindblad (Acta Paediatrica, 2009[Jan], Vol 98[1], 166-172). In the original article, the software extracted heart rate variability (HRV) frequency bands incorrectly. The corrections are given in the erratum. (The following abstract of the original article appeared in record [rid]2008-18158-011[/rid]). Objective: To investigate how playing a violent/nonviolent television game during the evening affects sympathetic and parasympathetic reactions during and after playing as well as sleep quality during the night after playing. Subjects and Methods: In total, 19 boys, 12–15 years of age, played television games on two occasions in their homes and participated once without gaming. Heart rate, heart rate variability (HRV) and physical activity were measured during gaming/participating and the night to follow using a portable combined heart rate and movement sensor. A sleep diary and questionnaires about gaming experiences and session-specific experiences were filled in. Criteria for Selection of Games: Violent game involves/rewards direct physical violence (no handguns) against another person, and nonviolent game involves/rewards no violence; same game design (‘third-person game’); conducted in the same manner; no differences concerning motor activity; similar sound and light effects; no sexual content, violence against women or racial overtones. Results: During violent (vs. nonviolent) gaming, there was significantly higher activity of the very low frequency component of the HRV and total power. During the night after playing, very low frequency, low frequency and high frequency components were significantly higher during the violent (vs. nonviolent) condition, just as total power. There were no significant differences between the three conditions (violent/nonviolent/no gaming) with respect to an index reflecting subjectively perceived sleep difficulties. Nor was there any difference between violent and nonviolent condition for any single sleep item. Conclusion: Violent gaming induces different autonomic responses in boys compared to nonviolent gaming—during playing and during the following night—suggesting different emotional responses. Subjectively perceived sleep quality is not influenced after a single gaming experience. Future studies should address the development of the autonomic balance after gaming over longer time than a night, physiological adaptation to frequent gaming and potential gender differences. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2011,9,NA,Acta Paediatrica,"Ivarsson, Malena; Anderson, Martin; Åkerstedt, Torbjörn; Lindblad, Frank"
psycInfo,2015-58226-007,NA,10.1016/j.chb.2015.10.011,"Work content influences on cognitive task load, emotional state and performance during a simulated 520-days' Mars mission.","In high-risk domains such as human space flight, cognitive performances can be negatively affected by emotional responses to events and conditions in their working environment (e.g., isolation and health incidents). The COgnitive Performance and Error (COPE) model distinguishes effects of work content on cognitive task load and emotional state, and their effect on the professional's performance. This paper examines the relationships between these variables for a simulated Mars-mission. Six volunteers (well-educated and -motivated men) were isolated for 520 days in a simulated spacecraft in which they had to execute a (virtual) mission to Mars. As part of this mission, every other week, several computer tasks were performed. These tasks consisted of a negotiation game, a chat-based learning activity and an entertainment game. Before and after these tasks, and after post-task questionnaires, the participants rated their emotional state consisting of arousal, valence and dominance, and their cognitive task load consisting of level of information processing, time occupied and task-set switches. Results revealed significant differences between cognitive task load and emotional state levels when work content varied. Significant regression models were also found that could explain variation in task performance. These findings contribute to the validation of the COPE model and suggest that differences in appraisals for tasks may bring about different emotional states and task performances. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2016,2,NA,Computers in Human Behavior,"Cohen, Iris; den Braber, Nadia; Smets, Nanja J. J. M.; van Diggelen, Jurriaan; Brinkman, Willem-Paul; Neerincx, Mark A."
psycInfo,2009-22709-001,NA,10.1177/0907568209347692,Editorial: Ratifying the Convention amidst the messy cultural politics of American childhoods.,"There exists at present an opening for the U.S. to consider seriously the ratification of the Convention of the Rights of the Child. It will take quite determined effort to educate the public about the meanings and implications of the Convention—a public for whom street children are not everyday realities but come to them as reassuring well-groomed innocents who grow up to win millions on a television game show (as in the film Slumdog Millionaire). It is a public that is in denial of child trafficking within it own borders. It is one that sees almost all such ‘problems’ in racial and class terms; even with many genuinely concerned and sympathetic individuals, such strife is interpreted as happening to 'other people's' children. Into this cultural ambivalence, where children are seen as personal concerns, pounce political opportunists like Rush Limbaugh who can at once favor prosecuting minors as adults and appear concerned with the plight of young Somalis, suddenly attuned to the context of their lives that may have directed their actions. At the same time, merely rushing to ratify and implement the Convention because it is the ‘right thing to do’ without due consideration of the multiple ramifications throughout the U.S. legal system could very well exacerbate the plight of many, even as it provides help for others. The process, were it to come to the center of the legal–political stage as it very well might, will no doubt be steeped in, and have to contend with, the messy, ongoing cultural politics of American childhoods. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2009,11,NA,Childhood: A Global Journal of Child Research,"Cook, Daniel Thomas"
psycInfo,2006-22017-010,NA,NA,The development of the Computer Game Addiction Inventory for Chinese college students.,"Objective: To develop a computer game addiction inventory (CGAI) for Chinese college students. Methods: A primary inventory made by the authors was applied to 477 college students from 8 universities in Beijing for exploratory factor analysis, and then to 405 college students for confirmatory factor analysis. Results: After exploratory factor analysis, a questionnaire consisting of 33 items was established, which had four factors: dependence and addict behavior, emotion arousal, functional impairment, and shame and dissatisfaction. These four factors could explain 55.1% of the total variance, were confirmed by confirmatory factor analysis. The internal consistency of the questionnaire was good. Criteria validity shown by higher scores in addiction group than normal control was also satisfying. Conclusion: The CGAI has good psychometric features and could be applied to college students. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2006,11,NA,Chinese Mental Health Journal,"Nie, Jing; Qian, Ming-Yi; Huang, Zheng"
psycInfo,2007-08754-009,NA,10.1016/j.jenvp.2007.03.002,Trait and state emotion congruence in simulated casinos: Effects on at-risk gambling intention and restoration.,"This research examined the effects of casino design and congruence in trait and state emotion on at-risk gambling intentions and psychological restoration. Video simulations representing two casino designs (playground vs. gaming) were presented to 484 participants (241 males) varying in gambling sub-type. The playground design features a recognizable theme, elements of nature, and spaciousness; the gaming design focuses on the gambling machines in a maze-like setting with low ceilings. For low trait arousal participants, at-risk intentions were higher when environmental arousal (EA) was high (mismatch) than when low (match). For high trait arousal participants, at-risk intentions were higher when EA was high (match) than when low (mismatch). A similar pattern of results occurred for restoration but only for pleasure trait-state congruency in non-problem gamblers. For problem gamblers, the effects of trait-state congruence on restoration were restricted to those with low trait pleasure for the playground design. The effects of congruence in trait and state emotion are bounded by the positivity of the outcome (at-risk gambling intention vs. restoration), the design of the casino (playground vs. gaming), the dimension of emotion (arousal vs. pleasure), the pole of the emotion (low vs. high), and gambler subtype (problem vs. non-problem). (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2007,6,NA,Journal of Environmental Psychology,"Finlay, Karen; Marmurek, Harvey H.C.; Kanetkar, Vinay; Londerville, Jane"
psycInfo,1988-20701-001,NA,NA,Cardiac reactivity to microprocessor-based television game playing in normal and hypertensive older adults.,"Evaluated the effects of videogame playing on heart rate and systolic and diastolic blood pressure of 15 60–80 yr old normal and medically controlled hypertensive adults. Cardiac reactivity of hypertensive Ss was compared with that of nonhypertensive Ss. There were small increases in heart rate and blood pressure as a response to the videogame playing, but no differences in cardiac reactivity were found between hypertensive and nonhypertensive Ss. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1987,5,NA,Cognitive Rehabilitation,"Steinhaus, Laurel A.; Shearer, Donald E.; Dustman, Robert E.; Gummow, Linda"
psycInfo,2016-26024-036,NA,10.1016/j.chb.2016.03.027,"Video games in adolescence and emotional functioning: Emotion regulation, emotion intensity, emotion expression, and alexithymia.","Video-game users represent 40% of the French population and adolescents are the primary users. Yet excessive playing of video games has become a problem in modern society and is manifesting itself in treatment centers for adolescents. Before attempting to gain insight into this problematic use, we must understand video gaming itself and its implications for the gamer. The aim of this research is to propose an understanding of video-game playing based on some dimensions of emotional functioning such as emotion regulation, emotion intensity, emotion expression, and alexithymia. A total of 159 adolescents took part in the study. Regular gamers regulated their emotions more than irregular gamers did. They also felt their emotions more intensely. But regular gamers expressed their emotions less than irregular gamers did. Finally, the regular gamers' alexithymia level was higher than the irregular gamers' level. Especially, they had more difficulty being emotionally reactive. The avatar's evolution in the virtual environment may help mediate adolescents' problematic emotional experiences to give them meaning and enable their appropriation. As such, video games may act as a medium for projecting and experiencing one's emotional life by staging the emotional self, thereby explaining the engagement of adolescents in video gaming. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2016,8,NA,Computers in Human Behavior,"Gaetan, Sophie; Bréjard, Vincent; Bonnet, Agnès"
psycInfo,2015-19943-001,NA,10.1037/ppm0000084,Role-playing video games and emotion: How transportation into the narrative mediates the relationship between immoral actions and feelings of guilt.,"Several studies have shown that exposure to media violence can lead to strong emotional reactions. This may be particularly true for video game violence and anger. Yet, few studies have explored the relationship between video game play and more complex emotions, such as guilt and shame. Further, prior research has not explored how exposure to the narratively rich violence found in role-playing video games may cause feelings of guilt. The research experiment presented here (n = 184) aims to fill this gap in the literature by explaining how the immoral actions of a video game character impact the player’s feelings of guilt. Specifically, results show that playing as a video game character that has committed immoral actions caused players to feel guilty and ashamed, especially if they felt transported or 'wrapped-up' in the narrative. Exposure to immoral actions also caused players to show increases in aggressive behavioral tendencies. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,1,NA,Psychology of Popular Media Culture,"Mahood, Chad; Hanus, Michael"
psycInfo,2016-45319-036,NA,10.1016/j.humov.2016.08.005,"The effects of autonomous difficulty selection on engagement, motivation, and learning in a motion-controlled video game task.","This experiment investigated the relationship between motivation, engagement, and learning in a video game task. Previous studies have shown increased autonomy during practice leads to superior retention of motor skills, but it is not clear why this benefit occurs. Some studies suggest this benefit arises from increased motivation during practice; others suggest the benefit arises from better information processing. Sixty novice participants were randomly assigned to a self-controlled group, who chose the progression of difficulty during practice, or to a yoked group, who experienced the same difficulty progression but did not have choice. At the end of practice, participants completed surveys measuring intrinsic motivation and engagement. One week later, participants returned for a series of retention tests at three different difficulty levels. RM-ANCOVA (controlling for pre-test) showed that the self-controlled group had improved retention compared to the yoked group, on average, β = 46.78, 95% CI = [2.68, 90.87], p = 0.04, but this difference was only statistically significant on the moderate difficulty post-test (p = 0.004). The self-controlled group also showed greater intrinsic motivation during practice, t(58) = 2.61, p = 0.01. However, there was no evidence that individual differences in engagement (p = 0.20) or motivation (p = 0.87) were associated with learning, which was the relationship this experiment was powered to detect. These data are inconsistent with strictly motivational accounts of how autonomy benefits learning, instead suggesting the benefits of autonomy may be mediated through other mechanisms. For instance, within the information processing framework, the learning benefits may emerge from learners appropriately adjusting difficulty to maintain an appropriate level of challenge (i.e., maintaining the relationship between task demands and cognitive resources). (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2016,10,NA,Human Movement Science,"Leiker, Amber M.; Bruzi, Alessandro T.; Miller, Matthew W.; Nelson, Monica; Wegman, Rebecca; Lohse, Keith R."
