Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,PubMed ID,Language of Original Document,Document Type,Source,EID
"Karami A., Dahl A.A., Turner-McGrievy G., Kharrazi H., Shaw G., Jr.","Characterizing diabetes, diet, exercise, and obesity comments on Twitter",2018,"International Journal of Information Management","38","1",,"1","6",,,10.1016/j.ijinfomgt.2017.08.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029596678&doi=10.1016%2fj.ijinfomgt.2017.08.002&partnerID=40&md5=8f5f3e857978cb45b99fe8d9e1c37372","Social media provide a platform for users to express their opinions and share information. Understanding public health opinions on social media, such as Twitter, offers a unique approach to characterizing common health issues such as diabetes, diet, exercise, and obesity (DDEO); however, collecting and analyzing a large scale conversational public health data set is a challenging research task. The goal of this research is to analyze the characteristics of the general public's opinions in regard to diabetes, diet, exercise and obesity (DDEO) as expressed on Twitter. A multi-component semantic and linguistic framework was developed to collect Twitter data, discover topics of interest about DDEO, and analyze the topics. From the extracted 4.5 million tweets, 8% of tweets discussed diabetes, 23.7% diet, 16.6% exercise, and 51.7% obesity. The strongest correlation among the topics was determined between exercise and obesity (p <.0002). Other notable correlations were: diabetes and obesity (p <.0005), and diet and obesity (p <.001). DDEO terms were also identified as subtopics of each of the DDEO topics. The frequent subtopics discussed along with “Diabetes”, excluding the DDEO terms themselves, were blood pressure, heart attack, yoga, and Alzheimer. The non-DDEO subtopics for “Diet” included vegetarian, pregnancy, celebrities, weight loss, religious, and mental health, while subtopics for “Exercise” included computer games, brain, fitness, and daily plan. Non-DDEO subtopics for “Obesity” included Alzheimer, cancer, and children. With 2.67 billion social media users in 2016, publicly available data such as Twitter posts can be utilized to support clinical providers, public health experts, and social scientists in better understanding common public opinions in regard to diabetes, diet, exercise, and obesity. © 2017 Elsevier Ltd",,"English",Article,Scopus,2-s2.0-85029596678
"Yu J.-M., Cho S.-B.","An evolutionary agent-based framework for modeling and analysis of labor market",2018,"Neurocomputing","271",,,"84","94",,,10.1016/j.neucom.2017.01.111,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023158141&doi=10.1016%2fj.neucom.2017.01.111&partnerID=40&md5=46ca77fe3826669a8390e10f09fb1593","This paper presents an agent-based model of labor market to investigate the relationship between company and worker. Contrary to most of previous studies of labor market we apply a game theoretic approach to defining entities in labor market: companies and workers. A company can choose the level of wages, and workers can select the level of effort to increase the productivity in response to the wages. Company and worker agents are designed to possess the basic attributes in order to reflect the real labor market and their activities are adaptively changed using evolutionary model. Our approach is illustrated with four simulation results: the effect of workers resignation, sick leave, dismissal of companies, and productivity growth. Various experiments were conducted to analyze the interactions between worker and company, indicating that performance-based reward strategy and non-greedy strategy in job changing are necessary for companies and workers. The experimental results confirm that the balanced power between worker and company is important in maintenance and extension of labor market, and Nash equilibrium can be maintained in all the cases. © 2017",,"English",Article,Scopus,2-s2.0-85023158141
"Dello Iacono A., Martone D., Zagatto A.M., Meckel Y., Sindiani M., Milic M., Padulo J.","Effect of contact and no-contact small-sided games on elite handball players",2018,"Journal of Sports Sciences","36","1",,"14","22",,,10.1080/02640414.2016.1276296,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007413602&doi=10.1080%2f02640414.2016.1276296&partnerID=40&md5=ffc8a127122019c924e733f0b0c01ffa","This study aimed to investigate the effect of contact (C-SSG) and no-contact (NC-SSG) handball small-sided games (SSGs) on motion patterns and physiological responses of elite handball players. Twelve male handball players performed 10 C-SSG and 10 NC-SSG while being monitored through the heart rate (HR) and rate of perceived exertion (RPE) as physiological responses and time-motion activities profile using video-match analysis. Both game conditions resulted in similar HR responses (P > 0.05), but the NC-SSG led to a higher RPE scores. The time-motion activity analysis featured NC-SSG with a greater amount of walking (855.6 ± 25.1 vs. 690.6 ± 35.2 m) and backward movements (187.5 ± 12.3 vs. 142.5 ± 8.7 m) combined with fast running (232.3 ± 8.5 vs. 159.7 ± 5.7 m) and sprinting (79.5 ± 4.7 vs. 39.7 ± 3.7 m) activities (P < 0.001). Conversely, C-SSG had a higher percentage of jogging and sideway movements associated with greater frequency of jumping (0.87 ± 0.09 vs. 0.31 ± 0.06 nr) and physical contact (1.82 ± 0.55 vs. 0.25 ± 0.03 nr) events (P < 0.001). No between-regimen differences were found for the number of throws (P = 0.745). In addition, the RPE was significantly correlated with fast running relative distances (r = 0.909, P < 0.001) and sprinting relative distances (r = 0.939, P < 0.001). In conclusion, this investigation showed that both C-SSG and NC-SSG in team handball can effectively represent specifically oriented exercises, according to the sport-task and the performance demands. © 2016 Informa UK Limited, trading as Taylor & Francis Group.",,"English",Article,Scopus,2-s2.0-85007413602
"Siervo M., Gan J., Fewtrell M.S., Cortina-Borja M., Wells J.C.K.","Acute effects of video-game playing versus television viewing on stress markers and food intake in overweight and obese young men: A randomised controlled trial",2018,"Appetite","120",,,"100","108",,,10.1016/j.appet.2017.08.018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028554109&doi=10.1016%2fj.appet.2017.08.018&partnerID=40&md5=bcdf7eb5fc7dc32362b772785a36d0e8","Background Sedentary or near-sedentary activities are associated with overweight/obesity in epidemiological studies. This has traditionally been attributed to physical activity displacement. A little-explored area is whether behavioural stresses alter sensations of appetite and eating behaviour. We examined whether behaviours conducted seated (television viewing, video gaming) induce different eating patterns, associated with differential levels of stress response. Methods and findings We conducted a randomized controlled trial in 72 overweight/obese adult males, assigned to three groups (24 per group): (i) non-violent television (control group); (ii) non-violent game (FIFA); (iii) violent game (Call of Duty). Following a standardized breakfast, the 1-h intervention was followed by 25-min rest, with sweet and savoury snacks and drinks available ad libitum. Stress markers (heart rate, blood pressure, visual analogue scale (VAS)) were measured throughout. Heart rate, systolic blood pressure, and stress by VAS were significantly higher (p < 0.05) playing video games than watching non-violent television, though the two game groups did not differ. Considered separately, only the violent video game group consumed more energy (Δ = 208.3 kcal, 95%CI 16, 400), sweet foods (Δ = 25.9 g, 95%CI 9.9, 41.9) and saturated fat (Δ = 4.36 g, 95%CI 0.76, 7.96) than controls. Conclusion Playing video games in overweight/obese adult males is associated with an acute stress response relative to watching non-violent television, associated with greater subsequent food intake. These findings highlight the need to focus on the metabolic effects, as well as the energy costs, of activities involving sitting in relation to obesity risk. © 2017 Elsevier Ltd",,"English",Article,Scopus,2-s2.0-85028554109
"Ahlqvist O., Khodke N., Ramnath R.","GeoGame analytics – A cyber-enabled petri dish for geographic modeling and simulation",2018,"Computers, Environment and Urban Systems","67",,,"1","8",,,10.1016/j.compenvurbsys.2017.08.013,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033684300&doi=10.1016%2fj.compenvurbsys.2017.08.013&partnerID=40&md5=722839eaafef8e40e9e3526b77c2f2cd","As researchers start to conceptualize human-environmental interactions through coupled human and natural systems research, the non-linear, dynamic, heterogeneous, feedback loops that are characteristic of those systems challenges a long-standing Newtonian paradigm of systems reducible to component parts, deterministic behavior, and the existence of equilibrium. As an alternative, complex systems researchers often use agent-based models (ABM) or multi-agent systems (MAS) to model and simulate complexity in human-environmental interactions. This paper briefly reports on the development of a novel cyberinfrastructure portal solution called GeoGames. This computing environment integrates and leverages web-GIS and multiplayer online game technology to enable simulations of real-world scenarios of coupled human and natural systems applicable to anything from cities, urban regions to other human settlements. While there are some similarities between GeoGames and games like SimCity, and Civilization, a fundamental idea underlying the GeoGames approach is the focus on creating an on-line world that mirrors (c.f. Gelernter, 1991) authentic real-world geography, realized by a full range of GIS supported mapping and processing services (Ahlqvist, Loffing, Ramanathan, & Kocher, P). In the context of our prototype platform we present the emerging area of Spatial Game Analytics (Drachen & Schubert, 2013) that provides an uncharted area for data-intensive geospatial scenario analysis. Our example scenario is a game that models the relationships of land management on hydrology and water quality. Our presentation is illustrated with examples from our own prototype platform that has generated a significant amount of user data on game play decisions and behavior. Exploratory GeoGame analytics are used to mine the spatial behavior of hundreds of players in order to identify how variations in the rules (land use policies) and varying locations (spatial configurations) affect the simulation outcomes. © 2017 Elsevier Ltd",,"English",Article,Scopus,2-s2.0-85033684300
"Soltani P., Figueiredo P., Ribeiro J., Fernandes R.J., Vilas-Boas J.P.","Physiological demands of a swimming-based video game: Influence of gender, swimming background, and exergame experience",2017,"Scientific Reports","7","1", 5247,"","",,,10.1038/s41598-017-05583-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024122922&doi=10.1038%2fs41598-017-05583-8&partnerID=40&md5=7ccc6c0ca1d13522017998643f3c1392","Active video games (exergames) may provide short-term increase in energy expenditure. We explored the effects of gender and prior experience on aerobic and anaerobic energy systems contributions, and the activity profiles of 40 participants playing with a swimming exergame. We recorded oxygen consumption and assessed blood lactate after each swimming technique. We also filmed participants' gameplays, divided them into different phases and tagged them as active or inactive. Anaerobic pathway accounted for 8.9 ± 5.6% of total energy expenditure and although experienced players were less active compared to novice counterparts (η2; &lt; 0.15, p &lt; 0.05), physiological measures were not different between performing groups. However, players with real-swimming experience during the first technique had higher heart rate (partial-η2 = 0.09, p &lt; 0.05). Our results suggest that short-term increase in physiological measures might happen in the beginning of gameplay because of unfamiliarity with the game mechanics. Despite low levels of activity compared to real sport, both aerobic and anaerobic energy systems should be considered in the evaluation of exergames. Game mechanics (involving the whole body) and strategies to minimize pragmatic play might be used for effective and meaningful game experience. © 2017 The Author(s).",,"English",Article,Scopus,2-s2.0-85024122922
"Morschheuser B., Riar M., Hamari J., Maedche A.","How games induce cooperation? A study on the relationship between game features and we-intentions in an augmented reality game",2017,"Computers in Human Behavior","77",,,"169","183",,1,10.1016/j.chb.2017.08.026,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028695881&doi=10.1016%2fj.chb.2017.08.026&partnerID=40&md5=fb2aa4e1021c23ca06b647a635228877","Seamless cooperation between individuals is essentially a crucial aspect of any successful endeavor. A host of literature has been published in the academic realm about how cooperation could be cultivated. However, true cooperation often forms organically without external enforcement. Recently, there has been one special example of a context where cooperation seemed to have effortlessly sprung up between people who might not even have had previous connections. The context is video/online games; games such as Ingress, Pokémon Go, and World of Warcraft bind people together to work against insurmountable odds and to overcome jointly held challenges. Organizations of many types have recently begun to gamify their structures and services in order to cultivate such seamless cooperation. However, before this potential of games can be successfully wielded outside video games, we need to understand better how games are able to cultivate such cooperation. Therefore, in this study we investigate how games can induce and cultivate we-intention of working as a group. Specifically, we investigate how cooperative game features affect different forms of group dynamics and how they further translate into we-intentions. We employ data from users of the augmented reality game Ingress (N = 206). The results show that cooperative game features induce we-intentions via positively increasing group norms, social identity, joint commitment, attitudes toward cooperation, and anticipated positive emotions. The findings imply that practitioners who are looking to increase cooperation should find that gamification inspired by cooperative game design is beneficial and preferable over individual-based gamification efforts. © 2017 Elsevier Ltd",,"English",Article,Scopus,2-s2.0-85028695881
"Kroes M.C.W., Dunsmoor J.E., Mackey W.E., McClay M., Phelps E.A.","Context conditioning in humans using commercially available immersive Virtual Reality",2017,"Scientific Reports","7","1", 8640,"","",,,10.1038/s41598-017-08184-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027845754&doi=10.1038%2fs41598-017-08184-7&partnerID=40&md5=d9cd7e4db3eda7a7b23dad20cee75483","Despite a wealth of knowledge on how humans and nonhuman animals learn to associate meaningful events with cues in the environment, far less is known about how humans learn to associate these events with the environment itself. Progress on understanding spatiotemporal contextual processes in humans has been slow in large measure by the methodological constraint of generating and manipulating immersive spatial environments in well-controlled laboratory settings. Fortunately, immersive Virtual Reality (iVR) technology has improved appreciably and affords a relatively straightforward methodology to investigate the role of context on learning, memory, and emotion while maintaining experimental control. Here, we review context conditioning literature in humans and describe challenges to study contextual learning in humans. We then provide details for a novel context threat (fear) conditioning paradigm in humans using a commercially available VR headset and a cross-platform game engine. This paradigm resulted in the acquisition of subjective threat, threat-conditioned defensive responses, and explicit threat memory. We make the paradigm publicly available and describe obstacles and solutions to optimize future studies of context conditioning using iVR. As computer technology advances to replicate the sensation of realistic environments, there are increasing opportunities to bridge the translational gap between rodent and human research on how context modulates cognition, which may ultimately lead to more optimal treatment strategies for anxiety- and stress-related disorders. © 2017 The Author(s).",,"English",Article,Scopus,2-s2.0-85027845754
"Anderson C.A., Bushman B.J., Bartholow B.D., Cantor J., Christakis D., Coyne S.M., Donnerstein E., Brockmyer J.F., Gentile D.A., Green C.S., Huesmann R., Hummer T., Krahé B., Strasburger V.C., Warburton W., Wilson B.J., Ybarra M.","Screen violence and youth behavior",2017,"Pediatrics","140",,,"S142","S147",,1,10.1542/peds.2016-1758T,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033563308&doi=10.1542%2fpeds.2016-1758T&partnerID=40&md5=2f1eb1f9e25a9b3d046fe3992fd1293f","Violence in screen entertainment media (ie, television, film, video games, and the Internet), defined as depictions of characters (or players) trying to physically harm other characters (or players), is ubiquitous. The Workgroup on Media Violence and Violent Video Games reviewed numerous meta-analyses and other relevant research from the past 60 years, with an emphasis on violent video game research. Consistent with every major science organization review, the Workgroup found compelling evidence of short-term harmful effects, as well as evidence of long-term harmful effects. The vast majority of laboratory-based experimental studies have revealed that violent media exposure causes increased aggressive thoughts, angry feelings, physiologic arousal, hostile appraisals, aggressive behavior, and desensitization to violence and decreases prosocial behavior (eg, helping others) and empathy. Still, to more fully understand the potential for long-term harm from media violence exposure, the field is greatly in need of additional large-sample, high-quality, longitudinal studies that include validated measures of media violence exposure and measures of other known violence risk factors. Also, although several high-quality media violence intervention studies have been conducted, larger-scale studies with more comprehensive and longer-term assessments are needed to fully understand long-term effects and to inform the development of tools that will help to reduce problems associated with aggression and violence. The evidence that violent screen media constitutes a causal risk factor for increased aggression is compelling. Modern social-cognitive theories of social behavior provide useful frameworks for understanding how and why these effects occur. Copyright © 2017 by the American Academy of Pediatrics.",29093050,"English",Article,Scopus,2-s2.0-85033563308
"Hellman M., Karjalainen S.-M., Majamäki M.","‘Present yet absent’: Negotiating commitment and intimacy in life with an excessive online role gamer",2017,"New Media and Society","19","11",,"1710","1726",,,10.1177/1461444816636091,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031793778&doi=10.1177%2f1461444816636091&partnerID=40&md5=cbd381a0f1bb533b7ef0976c90a77809","The study examines how persons in a close relationship with a gamer of massively multiplayer online role-playing games (MMORPG) perceive relationship problems caused by the gaming hobby. Revisiting the concept of pure relationships by Anthony Giddens, we analysed eight deep interviews with persons who claim their relationship with the gamer had ended or turned downhill due to the volume of the gaming. The study formulates a conception of the clashes of interest in areas of (1) situational clashes in everyday choreography, (2) shifts in long view prioritizing, (3) deficient communication and (4) understandings of self and autonomy in relation to gaming and relationship. These conceptual paths serve to understand the problems from a sociological perspective. On a more general level, the study demonstrates the timeliness in devoting attention to the premises under which intimacy and commitment are negotiated in offline and online relationship constellations. © 2016, © The Author(s) 2016.",,"English",Article,Scopus,2-s2.0-85031793778
